Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31
Revenue,185.12,178.41,164.61,167.45,133.96,128.6,108.19,85.41,62.37,58.04,55.87,45.6,133.84,103.35,56.89,63.47,63.32,50.98,41.57,54.81,48.17,29.67,19.26,19.64,13.01,19.51,16.54,18.15,13.41,16.88,14.5,14.49,13.12,8.04,3.02,3.91,2.31,-,-
Revenue Growth (YoY),38.19%,38.73%,52.15%,96.05%,114.79%,121.56%,93.65%,87.32%,-53.40%,-43.84%,-1.79%,-28.15%,111.37%,102.75%,36.87%,15.79%,31.46%,71.83%,115.87%,179.09%,270.15%,52.07%,16.43%,8.19%,-2.95%,15.58%,14.09%,25.28%,2.22%,109.85%,380.00%,270.28%,467.39%,-,-,-,-,-,-
Cost of Revenue,157.67,149.85,139.58,131.27,110.54,102.02,86,70.5,53.04,49.1,45.72,40.93,113.7,89.41,44,45.88,48.88,42.45,37.43,32.73,43.1,38.88,16.75,11.36,11.03,14.28,12.96,15.98,9.21,11.54,6.72,5.69,17.49,21.12,10.57,15.83,10.11,-,-
Gross Profit,27.46,28.56,25.03,36.18,23.42,26.58,22.19,14.91,9.33,8.94,10.15,4.67,20.14,13.94,12.89,17.59,14.44,8.52,4.13,22.08,5.06,-9.21,2.51,8.28,1.98,5.23,3.57,2.17,4.2,5.34,7.77,8.8,-4.38,-13.08,-7.55,-11.91,-7.8,-,-
"Selling, General & Admin",9.71,8.08,8.39,10.17,7.36,6.84,7.59,6.59,5.27,4.29,5.54,4.34,6.18,11.25,6.8,8.99,6.45,-0.1,12.23,9.13,6.3,-3.61,3.9,4.95,3.65,4.49,3.44,4.09,4.44,2.91,6.51,4.54,4.13,2,1.23,1.46,0.91,-,-
Other Operating Expenses,13.1,16.97,13.85,13.69,13.09,12.92,13.97,13.32,11.75,24.36,19.24,11.47,192.41,10.61,12.9,7.65,5.45,3.79,3.41,2.09,3.81,1.86,0.95,1.91,0.47,0.36,0.27,0.27,0.27,0.28,-0.01,0.4,0.13,0.1,0.08,0.09,0.09,0,0
Operating Expenses,22.81,25.05,22.24,23.86,20.46,19.76,21.56,19.91,17.02,28.65,24.78,15.81,198.59,21.85,19.69,16.64,11.9,3.69,15.64,11.21,10.1,-1.75,4.85,6.86,4.12,4.85,3.71,4.36,4.71,3.2,6.5,4.94,4.26,2.1,1.31,1.54,1,-,-
Operating Income,4.64,3.51,2.8,12.32,2.96,6.83,0.63,-5,-7.69,-19.71,-14.63,-11.14,-178.45,-7.91,-6.8,0.94,2.54,4.83,-11.5,10.87,-5.04,-7.46,-2.34,1.42,-2.14,0.38,-0.14,-2.19,-0.51,2.15,1.28,3.86,-8.63,-15.18,-8.86,-13.46,-8.8,-,-
Interest Expense / Income,2.84,3.22,2.97,2.54,1.28,1.3,1.29,1.29,1.27,1.71,1.26,1.25,1.18,0.86,0.46,0.45,0.3,0.37,0.29,0.16,0.14,0.07,0.01,0.01,0,0,0,0,-0.01,0,0,0,0,0,0,0,0,-,-
Other Expense / Income,-0.12,-0.47,0.2,0.23,-0.54,0.01,-0.6,0.13,0.17,-1.05,-0.84,-0.91,0.1,-0.37,-0.8,-0.04,0.24,-0.32,-1.28,0.14,-0.16,-0.61,-0.46,-0.52,-0.38,-0.57,-0.43,-0.43,0.59,-1.1,0.19,-0.29,-1.03,-0.5,-0.17,-,-,-,-
Pretax Income,1.93,0.76,-0.37,9.56,2.23,5.52,-0.07,-6.42,-9.13,-20.36,-15.05,-11.48,-179.73,-8.41,-6.45,0.54,2.01,4.79,-10.52,10.57,-5.02,-6.93,-1.88,1.93,-1.76,0.95,0.29,-1.76,-1.09,3.24,1.09,4.15,-7.6,-14.68,-8.69,-13.46,-8.8,-,-
Income Tax,0.62,2.56,0.62,4.08,1.28,1.39,0.1,-0.7,-0.95,-6.85,-1.84,-3.48,-2.09,0.11,-0.3,0.43,1.3,1.23,-13.9,1.61,0.71,0.48,-0.03,8.64,0.63,0.22,0.58,-0.66,0.64,0.57,1.04,0.23,0.23,0.74,0.01,0.02,0.02,-,-
Net Income,1.31,-1.8,-0.99,5.48,0.95,4.13,-0.16,-5.72,-8.17,-13.51,-13.22,-8,-177.64,-8.52,-6.16,0.11,0.71,3.56,3.39,8.96,-5.72,-7.4,-1.86,-6.71,-2.39,0.73,-0.29,-1.11,-1.73,2.68,0.05,3.91,-7.83,-15.42,-8.7,-13.48,-8.81,-,-
Preferred Dividends,9.03,9.04,9.03,9.02,9.37,9.12,9.07,8.94,8.92,8.8,8.77,8.74,8.69,6.53,3.27,3.28,3.28,3.22,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
Net Income Common,-7.73,-10.83,-10.02,-3.54,-8.43,-4.99,-9.23,-14.66,-17.1,-22.31,-21.98,-16.73,-186.33,-15.05,-9.43,-3.16,-2.57,0.34,1.41,8.96,-5.72,-7.4,-1.86,-6.71,-2.39,0.73,-0.29,-1.11,-1.73,2.68,0.05,3.91,-7.83,-15.42,-8.7,-13.48,-8.81,-,-
Net Income Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-72.83%,-,-,-,-,-,-,-,-,-,-,-,-,-
Shares Outstanding (Basic),3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Shares Outstanding (Diluted),3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-
Shares Change,6.23%,-0.22%,-0.74%,12.48%,4.58%,18.10%,29.31%,21.82%,22.15%,5.55%,-17.11%,-16.49%,-10.21%,7.61%,19.04%,9.25%,15.79%,-1.66%,13.78%,9.80%,3.37%,-7.04%,-9.20%,10.60%,-7.75%,2.43%,2.72%,-6.78%,11.91%,11.96%,11.16%,10.90%,0.05%,-,-,-,-,-,-
EPS (Basic),-2.59,-3.67,-3.38,-1.21,-3.00,-1.75,-3.31,-5.31,-6.36,-8.68,-9.53,-7.37,-84.73,-5.94,-3.65,-1.28,-1.06,0.09,0.67,4.26,-2.73,-3.62,-0.92,-3.32,-1.18,0.36,-0.14,-0.55,-0.86,1.35,0.03,1.97,-3.95,-7.79,-4.39,-6.80,-4.45,-,-
EPS (Diluted),-2.59,-3.62,-3.38,-1.34,-3.00,-1.75,-3.64,-5.31,-6.36,-8.68,-9.53,-7.37,-84.73,-5.60,-3.94,-3.00,-1.13,-2.22,0.18,0.93,-2.84,-3.77,-1.05,-3.85,-1.34,-0.23,-0.49,-0.71,-1.51,0.25,-2.26,-1.26,-3.95,-7.79,-4.39,-6.80,-4.45,-,-
Free Cash Flow Per Share,-4.20,2.83,2.03,6.84,-2.50,1.33,2.81,2.67,-1.51,-6.23,2.90,14.67,1.08,0.20,-0.75,0.34,-1.85,-4.79,0.14,2.85,0.84,-0.19,2.29,0.58,5.18,1.99,-3.98,2.82,38.34,13.63,1.92,-0.50,-3.79,-5.30,-1.35,-2.73,-5.03,-,-
Gross Margin,14.83%,16.01%,15.21%,21.61%,17.48%,20.67%,20.51%,17.46%,14.96%,15.41%,18.16%,10.25%,15.05%,13.49%,22.66%,27.71%,22.81%,16.72%,9.94%,40.28%,10.51%,-31.06%,13.01%,42.14%,15.22%,26.80%,21.61%,11.94%,31.33%,31.64%,53.61%,60.74%,-33.35%,-162.64%,-249.93%,-304.42%,-337.28%,-,-
Operating Margin,2.51%,1.97%,1.70%,7.36%,2.21%,5.31%,0.58%,-5.85%,-12.32%,-33.95%,-26.19%,-24.43%,-133.33%,-7.66%,-11.95%,1.49%,4.01%,9.48%,-27.68%,19.83%,-10.46%,-25.16%,-12.15%,7.22%,-16.41%,1.96%,-0.82%,-12.08%,-3.82%,12.71%,8.81%,26.64%,-65.82%,-188.77%,-293.44%,-343.85%,-380.54%,-,-
Profit Margin,-4.17%,-6.07%,-6.09%,-2.11%,-6.29%,-3.88%,-8.53%,-17.17%,-27.41%,-38.43%,-39.35%,-36.69%,-139.21%,-14.57%,-16.57%,-4.98%,-4.06%,0.67%,3.39%,16.35%,-11.88%,-24.95%,-9.64%,-34.16%,-18.33%,3.73%,-1.72%,-6.09%,-12.92%,15.85%,0.37%,27.01%,-59.72%,-191.73%,-288.11%,-344.36%,-381.19%,-,-
