Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
"Selling, General & Admin",0.98,0.28,0.09,0.16,0.12,0.11,0
Other Operating Expenses,0.12,0.12,0.12,0.12,0.12,0.03,0
Operating Expenses,1.09,0.4,0.21,0.28,0.24,0.14,0
Operating Income,-1.09,-0.4,-0.21,-0.28,-0.24,-0.14,-0
Other Expense / Income,-1.27,-1.21,-0.32,-0.15,-0.01,-0,-
Pretax Income,0.17,0.81,0.11,-0.12,-0.23,-0.14,-0
Net Income,0.17,0.81,0.11,-0.12,-0.23,-0.14,-0
Shares Outstanding (Basic),14,14,14,14,14,7,3
Shares Outstanding (Diluted),14,14,14,14,14,7,3
Shares Change,-,98.88%,475.00%,-,-,-,-
EPS (Basic),-0.16,-0.03,-0.01,-0.02,-0.02,-0.98,-
EPS (Diluted),-0.16,-0.03,-0.01,-0.02,-0.02,-0.98,-
Free Cash Flow Per Share,0.03,0.08,-0.01,-0.00,-0.07,-0.01,-0.01
EBITDA,0.17,0.81,0.11,-0.12,-0.23,-0.14,-0
EBIT,0.17,0.81,0.11,-0.12,-0.23,-0.14,-0
