Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
"Selling, General & Admin",4.14,1.28,0.31,0.42,0.85,0.31,0.42,0.11,0
Operating Expenses,4.14,1.28,0.31,0.42,0.85,0.31,0.42,0.11,0
Operating Income,-4.14,-1.28,-0.31,-0.42,-0.85,-0.31,-0.42,-0.11,-0
Other Expense / Income,7.28,-1.62,-3.13,-6.85,-0.18,-10.44,4.86,-0.2,-
Pretax Income,-11.42,0.34,2.82,6.42,-0.67,10.13,-5.28,0.09,-0
Income Tax,0.23,0.53,0,0,0,0,0,0,0
Net Income,-11.65,-0.19,2.82,6.42,-0.67,10.13,-5.28,0.09,-0
Net Income Growth,-,-,-,6824.86%,-,-,-,-,-
Shares Outstanding (Basic),36,36,36,36,38,36,36,16,3
Shares Outstanding (Diluted),36,36,36,36,38,36,36,16,3
Shares Change,-5.07%,-,-,121.06%,1246.02%,-,-,-,-
EPS (Basic),-0.32,-0.01,0.08,0.18,-0.03,0.28,-0.15,0.01,-
EPS (Diluted),-0.32,-0.01,0.08,0.18,-0.03,0.28,-0.15,0.01,-
EPS Growth,-,-,-,1700.00%,-,-,-,-,-
Free Cash Flow Per Share,-0.02,-0.01,-0.01,-0.01,-0.02,-0.00,-0.02,-0.02,-
Effective Tax Rate,-,156.66%,-,-,-,-,-,-,-
EBITDA,-11.42,0.34,2.82,6.42,-0.67,10.13,-5.28,0.09,-0
EBIT,-11.42,0.34,2.82,6.42,-0.67,10.13,-5.28,0.09,-0
