Metrics,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
"Selling, General & Admin",0.5,0.4,0.48,0.62,0,0,0
Operating Expenses,0.5,0.4,0.48,0.62,0,0,0
Operating Income,-0.5,-0.4,-0.48,-0.62,0,0,0
Interest Expense / Income,0.02,0,0,0,0,0,0
Other Expense / Income,-0.79,-1.05,-7.54,-2.02,-,-,-
Pretax Income,0.27,0.66,7.06,1.39,0,0,0
Income Tax,0.09,0.03,0,0,0,0,0
Net Income,0.17,0.63,7.06,1.39,0,0,0
Shares Outstanding (Basic),13,13,13,3,3,3,3
Shares Change,435.52%,435.13%,435.13%,-,-,-,-
EPS (Basic),0.02,0.05,0.53,6.03,-,-,-
EPS (Diluted),0.02,0.05,0.53,6.03,-,-,-
Free Cash Flow Per Share,-0.01,-0.02,-0.01,-0.28,-,-,-
Effective Tax Rate,35.02%,4.11%,0.03%,0.01%,-,-,-
EBITDA,0.29,0.66,7.06,1.39,0,0,0
EBIT,0.29,0.66,7.06,1.39,0,0,0
