Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30
Revenue,81.04,79.03,76.69,69.88,73.17,82.52,77.99,81.15,68.02,62.75,60.02,49.92,47.68,64.1,66.71,62.24,58.07,62.72,57.65,49.31,39.7,40.42,39.43,39.49,39.96,33.89,23.96,25.43
Revenue Growth (YoY),10.76%,-4.23%,-1.66%,-13.88%,7.57%,31.51%,29.94%,62.55%,42.66%,-2.11%,-10.04%,-19.79%,-17.90%,2.20%,15.71%,26.22%,46.27%,55.18%,46.22%,24.87%,-0.63%,19.25%,64.58%,55.30%,-,-,-,-
Gross Profit,81.04,79.03,76.69,69.88,73.17,82.52,77.99,81.15,68.02,62.75,60.02,49.92,47.68,64.1,66.71,62.24,58.07,62.72,57.65,49.31,39.7,40.42,39.43,39.49,39.96,33.89,23.96,25.43
"Selling, General & Admin",41.74,45.69,39.61,37.32,39.87,42.25,36.78,35.19,32.55,36.51,33.4,29.67,35.19,39.85,37.18,35.55,33.05,32.79,31.53,39.9,27.46,26.94,24.81,25.58,25.69,25.77,18.72,19.42
Other Operating Expenses,7.07,3.88,6.57,6.45,4.68,17.21,7.4,7.79,6.29,9.78,8.29,7.39,8.47,3.9,8.27,8.4,7.63,6.35,6.18,5.58,4.16,2.39,6.26,3.67,3.16,5.23,3.66,3.39
Operating Expenses,48.8,49.58,46.18,43.77,44.56,59.45,44.18,42.98,38.84,46.29,41.69,37.05,43.66,43.75,45.45,43.95,40.68,39.14,37.72,45.48,31.61,29.33,31.07,29.25,28.85,31,22.38,22.82
Operating Income,32.24,29.45,30.51,26.11,28.61,23.07,33.81,38.16,29.17,16.45,18.33,12.87,4.02,20.35,21.27,18.29,17.4,23.58,19.94,3.83,8.09,11.09,8.37,10.24,11.1,2.89,1.57,2.61
Pretax Income,32.24,29.45,30.51,26.11,28.61,23.07,33.81,38.16,29.17,16.45,18.33,12.87,4.02,20.35,21.27,18.29,17.4,23.58,19.94,3.83,8.09,11.09,8.37,10.24,11.1,2.89,1.57,2.61
Income Tax,8.29,6.75,7.86,5.82,6.3,5.88,8.5,9.67,7.38,4.16,5.26,3.73,1.05,4.5,5.92,5.08,4.8,6.46,5.4,1.06,1.32,11.85,-1.39,4.09,4.54,-61.02,0.01,0.01
Net Income,23.95,22.7,22.66,20.28,22.31,17.19,25.31,28.49,21.8,12.29,13.07,9.14,2.97,15.85,15.34,13.21,12.6,17.12,14.54,2.77,6.77,-0.77,9.76,6.15,6.56,63.92,1.57,2.6
Preferred Dividends,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.2,10.7,0.19,0,0,0
Net Income Common,23.95,22.7,22.66,20.28,22.12,16.99,25.11,28.3,21.6,12.1,12.88,8.94,2.77,15.66,15.15,13.02,12.4,16.93,14.34,2.57,6.58,-0.96,9.56,-4.55,6.37,63.92,1.57,2.6
Net Income Growth,8.27%,33.61%,-9.77%,-28.32%,2.37%,40.50%,95.03%,216.38%,679.86%,-22.75%,-14.99%,-31.28%,-77.66%,-7.50%,5.62%,406.46%,88.61%,-,50.00%,-,3.20%,-,510.86%,-,-,-,-,-
Shares Outstanding (Basic),38,37,38,38,38,38,38,39,39,39,38,38,38,38,38,38,36,36,36,29,29,29,29,25,29,29,19,19
Shares Outstanding (Diluted),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,25,-,-,20,20
Shares Change,-0.30%,-0.62%,-0.61%,-2.15%,-2.37%,-2.26%,-1.77%,0.64%,0.79%,1.07%,0.78%,0.97%,5.70%,5.13%,5.23%,29.03%,23.69%,23.88%,21.73%,19.43%,0.54%,0.22%,50.54%,24.95%,-,-,-,-
EPS (Basic),0.65,0.61,0.61,0.55,0.60,0.46,0.68,0.75,0.57,0.31,0.34,0.24,0.07,0.42,0.40,0.35,0.34,0.48,0.40,0.08,0.22,-0.04,0.33,-0.18,0.26,3.16,0.08,0.13
EPS (Diluted),0.64,0.61,0.61,0.54,0.58,0.45,0.66,0.73,0.56,0.32,0.34,0.24,0.07,0.41,0.39,0.34,0.34,0.47,0.39,0.08,0.22,-0.05,0.32,-0.18,0.25,3.12,0.08,0.13
EPS Growth,10.34%,35.56%,-7.58%,-26.03%,3.57%,40.63%,94.12%,204.17%,700.00%,-21.95%,-12.82%,-29.41%,-79.41%,-12.77%,0%,325.00%,54.55%,-,21.88%,-,-12.00%,-,300.00%,-,-,-,-,-
Free Cash Flow Per Share,1.29,0.92,0.85,1.54,2.43,0.74,-0.59,1.35,0.38,2.75,-1.07,0.42,0.62,0.40,0.59,-0.66,0.35,0.50,0.20,0.95,0.86,0.47,-0.57,0.93,0.15,0.55,-0.59,-
Dividend Per Share,0.090,0.090,0.090,0.090,0.090,0.090,0.090,0.060,0.060,0.030,0.030,0.030,0.030,0.030,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dividend Growth,0%,0%,0%,50.00%,50.00%,200.00%,200.00%,100.00%,100.00%,0%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,39.78%,37.27%,39.79%,37.36%,39.11%,27.95%,43.35%,47.03%,42.89%,26.22%,30.54%,25.78%,8.42%,31.75%,31.88%,29.38%,29.95%,37.60%,34.58%,7.77%,20.37%,27.43%,21.21%,25.93%,27.79%,8.53%,6.57%,10.26%
Profit Margin,29.55%,28.73%,29.54%,29.03%,30.23%,20.59%,32.20%,34.87%,31.76%,19.28%,21.45%,17.92%,5.81%,24.43%,22.70%,20.91%,21.35%,26.99%,24.87%,5.21%,16.56%,-2.38%,24.25%,-11.52%,15.95%,188.60%,6.53%,10.23%
Free Cash Flow Margin,60.29%,43.53%,41.83%,83.54%,125.56%,33.75%,-28.66%,64.29%,21.79%,169.26%,-68.24%,32.24%,49.92%,23.68%,33.48%,-40.38%,21.82%,28.72%,12.74%,56.85%,63.99%,34.03%,-42.32%,58.10%,10.77%,47.77%,-48.02%,-
Effective Tax Rate,25.72%,22.91%,25.75%,22.31%,22.02%,25.48%,25.15%,25.34%,25.28%,25.30%,28.69%,28.97%,26.15%,22.10%,27.85%,27.75%,27.58%,27.39%,27.09%,27.77%,16.33%,106.91%,-16.62%,39.98%,40.92%,-2110.06%,0.57%,0.34%
EBITDA,33.22,30.46,31.55,27.18,29.78,24.46,35.27,39.75,30.73,18.09,19.97,14.47,5.62,22.04,22.71,19.96,18.99,25.07,21.42,5.17,9.36,12.36,9.68,11.55,12.4,4.14,2.75,-
