Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
"Selling, General & Admin",0.65,-1.15,0.29,0.52,4.53,0.49,0.41,0.37,0.13,0.01
Operating Expenses,0.65,-1.15,0.29,0.52,4.53,0.49,0.41,0.37,0.13,0.01
Operating Income,-0.65,1.15,-0.29,-0.52,-4.53,-0.49,-0.41,-0.37,-0.13,-0.01
Other Expense / Income,-3.05,-8.59,-11.47,-10.52,-20.31,-4.52,-4.3,3.71,12.51,-
Pretax Income,2.41,9.74,11.17,10.01,15.78,4.03,3.89,-4.08,-12.64,-0.01
Net Income,2.41,9.74,11.17,10.01,15.78,4.03,3.89,-4.08,-12.64,-0.01
Net Income Growth,-84.75%,141.73%,187.35%,-,-,-,-,-,-,-
Shares Outstanding (Basic),68,129,129,129,129,130,129,129,88,23
Shares Outstanding (Diluted),68,129,129,129,129,130,129,129,88,23
Shares Change,-47.55%,-0.30%,-,-,47.75%,476.76%,-,-,-,-
EPS (Basic),0.04,0.07,0.09,0.08,0.12,0.04,0.03,-0.03,-0.14,-
EPS (Diluted),0.04,0.07,0.09,0.08,0.12,0.04,0.03,-0.03,-0.14,-
EPS Growth,-66.67%,75.00%,200.00%,-,-,-,-,-,-,-
Free Cash Flow Per Share,-0.01,-0.00,-0.00,-0.00,-0.01,-0.00,-0.00,-,-0.01,-
EBITDA,2.41,9.74,11.17,10.01,15.78,4.03,3.89,-4.08,-12.64,-0.01
EBIT,2.41,9.74,11.17,10.01,15.78,4.03,3.89,-4.08,-12.64,-0.01
