Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31
Revenue,74.74,58.36,62.82,52.36,46.01,51.53,49.55,46.49,49.83,48.28,46.82,47.87,51.5,54.77,52.69,50.6,39.89,33.75,26.66,21.43,17.46,10.02,7.82,4.53,2.24,0.87,0,0,0,0
Revenue Growth (YoY),62.43%,13.24%,26.78%,12.63%,-7.67%,6.74%,5.83%,-2.88%,-3.23%,-11.85%,-11.14%,-5.39%,29.10%,62.29%,97.61%,136.16%,128.48%,236.92%,241.09%,373.04%,678.56%,1053.22%,-,-,-,-,-,-,-,-
Cost of Revenue,20.02,18.21,11.83,12.52,11.68,13.52,13.31,12.15,15.43,12.76,8.89,8.64,8.73,13.57,12.48,12.47,8.86,8.13,7.26,3.66,5.25,4.51,1.1,0.7,0.36,0.61,0,0,0,0
Gross Profit,54.72,40.14,50.99,39.84,34.33,38.01,36.24,34.34,34.41,35.51,37.93,39.23,42.77,41.2,40.21,38.13,31.04,25.62,19.4,17.76,12.21,5.51,6.72,3.83,1.88,0.26,0,0,0,0
"Selling, General & Admin",1.83,1.7,1.53,1.66,1.6,1.16,1.63,1.41,1.56,1.69,1.75,1.26,1.42,1.28,1.4,1.69,0.95,0.02,0.4,0.52,0.24,0.26,0.28,0.24,0.18,0.23,0.07,0,0,0
Other Operating Expenses,0.58,1.16,0.97,0.45,0.39,0.6,0.58,-2.01,-1.15,-1.96,0.3,0.64,0.97,-1.11,-1.79,-1.34,-1.7,-2.05,-1.42,-1.56,-1.1,-2.58,0.51,0.49,0.41,0.13,0.79,0,0,0
Operating Expenses,2.41,2.85,2.5,2.1,1.99,1.76,2.21,-0.6,0.41,-0.27,2.05,1.9,2.39,0.17,-0.39,0.35,-0.75,-2.03,-1.02,-1.05,-0.86,-2.32,0.79,0.73,0.59,0.36,0.86,0,0,0
Operating Income,52.3,37.29,48.48,37.74,32.35,36.25,34.03,34.94,34,35.78,35.88,37.33,40.38,41.03,40.6,37.77,31.79,27.65,20.42,18.81,13.06,7.83,5.93,3.1,1.29,-0.1,-0.86,0,0,0
Interest Expense / Income,19.55,16.27,14.38,11.03,10.64,14.23,12.27,13.02,11.83,13.7,14.43,17.31,17.88,19.74,19.43,16.62,10.55,7.87,6.52,5.33,4.29,2.99,0.22,0.2,0.2,0.03,0,0,0,0
Other Expense / Income,2.87,-23.33,23.05,9.49,-11.98,-0.39,-1.58,-20.51,-9.59,-17.64,-30,-1.75,126.95,-0.06,2.98,1.93,-18.07,29.65,-5.09,7.32,-2.58,-2.08,-1.49,-0.67,-0.52,-1.6,-,-,-,-
