Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-10-23
"Selling, General & Admin",1.43,0.36,0.54,0.6,3.03,0.45,0.14,0.09,0,0
Operating Expenses,1.43,0.36,0.54,0.6,3.03,0.45,0.14,0.09,0,0
Operating Income,-1.43,-0.36,-0.54,-0.6,-3.03,-0.45,-0.14,-0.09,-0,-0
Other Expense / Income,-2.12,-1.33,-3.3,-1.82,-0.99,-0.03,-0.02,-0.04,-,-
Pretax Income,0.69,0.97,2.75,1.22,-2.04,-0.42,-0.12,-0.05,-0,-0
Income Tax,0.48,0.29,0.02,0,0,0,0,0,0,0
Net Income,0.21,0.68,2.73,1.22,-2.04,-0.42,-0.12,-0.05,-0,-0
Shares Outstanding (Basic),7,7,7,7,7,28,7,7,6,5
Shares Outstanding (Diluted),7,7,7,7,7,28,7,7,6,5
Shares Change,2.79%,-75.00%,-,-,11.88%,452.00%,-,-,-,-
EPS (Basic),0.01,0.02,0.08,0.04,-0.06,-0.01,-,-,-,-
EPS (Diluted),0.01,0.02,0.08,0.04,-0.06,-0.01,-,-,-,-
Free Cash Flow Per Share,-0.03,-0.03,-0.02,-0.05,-0.01,-0.00,-0.01,-0.06,-,-
Effective Tax Rate,69.76%,30.31%,0.82%,-,-,-,-,-,-,-
EBITDA,0.69,0.97,2.75,1.22,-2.04,-0.42,-0.12,-0.05,-0,-0
EBIT,0.69,0.97,2.75,1.22,-2.04,-0.42,-0.12,-0.05,-0,-0
