Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Revenue,17.87,15.86,17.65,16.55,16.32,16.72,17.69,13.99,14.96
Revenue Growth (YoY),9.45%,-5.13%,-0.20%,18.33%,9.15%,-,-,-,-
Gross Profit,17.87,15.86,17.65,16.55,16.32,16.72,17.69,13.99,14.96
"Selling, General & Admin",7.68,7.34,7.36,7.16,7.15,6.9,6.51,6.62,6.67
Other Operating Expenses,2.5,2.68,2.78,2.39,2.47,2.42,2.5,2.05,2.01
Operating Expenses,10.18,10.01,10.13,9.55,9.61,9.32,9.01,8.67,8.68
Operating Income,7.69,5.85,7.52,7,6.71,7.4,8.68,5.32,6.28
Pretax Income,7.69,5.85,7.52,7,6.71,7.4,8.68,5.32,6.28
Income Tax,1.88,1.42,1.96,1.71,1.86,1.75,2.09,1.26,1.5
Net Income,5.81,4.43,5.56,5.3,4.85,5.65,6.59,4.05,4.78
Preferred Dividends,0,0,0,0,0,0,90.13,0.75,0.78
Net Income Common,5.81,4.43,5.56,5.3,4.85,5.65,-83.53,3.3,4
Net Income Growth,19.67%,-21.52%,-,60.50%,21.35%,-,-,-,-
Shares Outstanding (Basic),20,20,20,20,20,20,-,-,-
Shares Change,-1.89%,-,-,-,-,-,-,-,-
EPS (Basic),0.29,0.22,0.28,0.26,0.24,1.85,-5.11,0.65,0.78
EPS (Diluted),0.29,0.22,0.28,0.26,0.24,1.85,-5.11,0.64,0.78
EPS Growth,20.83%,-88.11%,-,-59.38%,-69.23%,-,-,-,-
Free Cash Flow Per Share,0.46,-0.13,0.57,0.72,0.27,-0.01,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,43.04%,36.87%,42.60%,42.30%,41.12%,44.26%,49.08%,38.00%,41.98%
Profit Margin,32.51%,27.95%,31.48%,31.99%,29.74%,33.79%,-472.26%,23.58%,26.75%
Free Cash Flow Margin,50.26%,-15.90%,64.89%,87.50%,33.37%,-1.58%,54.97%,69.59%,25.91%
Effective Tax Rate,24.46%,24.19%,26.10%,24.39%,27.68%,23.66%,24.05%,23.76%,23.86%
EBITDA,7.84,6.01,7.69,7.18,6.9,7.59,8.88,5.63,6.61
EBITDA Margin,43.88%,37.87%,43.55%,43.36%,42.27%,45.39%,50.22%,40.24%,44.18%
Depreciation & Amortization,0.15,0.16,0.17,0.18,0.19,0.19,0.2,0.31,0.33
EBIT,7.69,5.85,7.52,7,6.71,7.4,8.68,5.32,6.28
EBIT Margin,43.04%,36.87%,42.60%,42.30%,41.12%,44.26%,49.08%,38.00%,41.98%
