Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.26,0.23,0.25,0.26,0.25,0.02,0.03,0.01
Operating Expenses,0.26,0.23,0.25,0.26,0.25,0.02,0.03,0.01
Operating Income,-0.26,-0.23,-0.25,-0.26,-0.25,-0.02,-0.03,-0.01
Other Expense / Income,-0.61,-3.08,-2.91,-2.79,-1.99,-,-,-
Pretax Income,0.34,2.85,2.67,2.53,1.74,-0.02,-0.03,-0.01
Net Income,0.34,2.85,2.67,2.53,1.74,-0.02,-0.03,-0.01
Net Income Growth,-80.22%,-,-,-,-,-,-,-
Shares Outstanding (Basic),29,29,29,29,23,7,7,7
Shares Outstanding (Diluted),29,29,29,29,23,7,7,7
Shares Change,25.32%,320.41%,320.18%,320.18%,-,-,-,-
EPS (Basic),0.01,0.10,0.09,0.09,0.07,-,-,-
EPS (Diluted),0.01,0.10,0.09,0.09,0.07,-,-,-
EPS Growth,-85.71%,-,-,-,-,-,-,-
Free Cash Flow Per Share,-0.01,-0.00,-0.00,-0.03,-0.05,0.00,-0.00,-
EBITDA,0.34,2.85,2.67,2.53,1.74,-0.02,-0.03,-0.01
EBIT,0.34,2.85,2.67,2.53,1.74,-0.02,-0.03,-0.01
