Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
"Selling, General & Admin",1.32,0.26,0.29,0.58,1.45,0.3,0.4,0.4,0
Other Operating Expenses,0,-0.58,0,0,0,0,0,0,0
Operating Expenses,1.32,-0.32,0.29,0.58,1.45,0.3,0.4,0.4,0
Operating Income,-1.32,0.32,-0.29,-0.58,-1.45,-0.3,-0.4,-0.4,-0
Other Expense / Income,-1.7,-2.55,-4,-4.4,-1.18,-7.06,-0.23,1.57,-
Pretax Income,0.39,2.88,3.71,3.82,-0.27,6.76,-0.16,-1.96,-0
Income Tax,0.4,0.14,0,0,0,0,0,0,0
Net Income,-0.01,2.73,3.71,3.82,-0.27,6.76,-0.16,-1.96,-0
Net Income Growth,-,-59.61%,-,-,-,-,-,-,-
Shares Outstanding (Basic),34,35,35,35,34,35,35,35,6
Shares Outstanding (Diluted),34,35,35,35,34,35,35,35,6
Shares Change,-,-,-,-,470.22%,-,-,-,-
EPS (Basic),-,0.08,0.11,0.11,-,0.20,-,-0.06,-
EPS (Diluted),-,0.08,0.11,0.11,-,0.20,-,-0.06,-
EPS Growth,-,-60.00%,-,-,-,-,-,-,-
Free Cash Flow Per Share,-0.00,-0.01,-0.01,-0.00,-0.01,-0.00,-0.01,-0.02,-
Effective Tax Rate,102.76%,5.00%,-,-,-,-,-,-,-
EBITDA,0.39,2.88,3.71,3.82,-0.27,6.76,-0.16,-1.96,-0
EBIT,0.39,2.88,3.71,3.82,-0.27,6.76,-0.16,-1.96,-0
