Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
"Selling, General & Admin",0.23,0.49,2.31,1.21,4.46,0.51,0.48,0.13,0.01
Operating Expenses,0.23,0.49,2.31,1.21,4.46,0.51,0.48,0.13,0.01
Operating Income,-0.23,-0.49,-2.31,-1.21,-4.46,-0.51,-0.48,-0.13,-0.01
Other Expense / Income,-9.63,-2.31,-2.52,-4.57,0.89,-4.41,0.99,-9.74,-
Pretax Income,9.4,1.83,0.21,3.36,-5.35,3.9,-1.47,9.61,-0.01
Net Income,9.4,1.83,0.21,3.36,-5.35,3.9,-1.47,9.61,-0.01
Net Income Growth,-,-53.12%,-,-65.08%,-,-,-,-,-
Shares Outstanding (Basic),35,35,35,35,35,35,35,22,5
Shares Outstanding (Diluted),35,35,35,35,35,35,35,22,5
Shares Change,-0.10%,-,-,57.34%,590.68%,-,-,-,-
EPS (Basic),0.27,0.05,0.01,0.10,-0.19,0.11,-0.04,0.43,-
EPS (Diluted),0.27,0.05,0.01,0.10,-0.19,0.11,-0.04,0.43,-
EPS Growth,-,-54.55%,-,-76.74%,-,-,-,-,-
Free Cash Flow Per Share,-0.01,-0.00,-0.00,0.00,-0.02,-0.01,-0.00,-0.04,-0.01
EBITDA,9.4,1.83,0.21,3.36,-5.35,3.9,-1.47,9.61,-0.01
EBIT,9.4,1.83,0.21,3.36,-5.35,3.9,-1.47,9.61,-0.01
