Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-07-02
"Selling, General & Admin",1.06,1.22,1.61,0.39,-,0.01,0.01
Operating Expenses,1.06,1.22,1.61,0.39,-,0.01,0.01
Operating Income,-1.06,-1.22,-1.61,-0.39,-,-0.01,-0.01
Other Expense / Income,-2.12,-1.65,-5.15,-4.71,-,-,-
Pretax Income,1.07,0.43,3.54,4.31,-,-0.01,-0.01
Net Income,1.07,0.43,3.54,4.31,-,-0.01,-0.01
Shares Outstanding (Basic),41,41,41,41,15,9,8
Shares Outstanding (Diluted),41,41,41,41,-,9,8
Shares Change,169.72%,374.97%,395.86%,-,-,-,-
EPS (Basic),0.03,0.01,0.09,0.10,-,-,-
EPS (Diluted),0.03,0.01,0.09,0.10,-,-,-
Free Cash Flow Per Share,-0.00,-0.00,-0.00,-0.01,-,-,-
EBITDA,1.07,0.43,3.54,4.31,-,-,-0.01
EBIT,1.07,0.43,3.54,4.31,-,-0.01,-0.01
