Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-07-01
"Selling, General & Admin",0.38,0.2,0.18,0.39,0.14,0,0,0.05
Other Operating Expenses,0.1,0.01,0.01,0.01,0.11,0,0,0
Operating Expenses,0.48,0.22,0.19,0.41,0.24,0,0,0.05
Operating Income,-0.48,-0.22,-0.19,-0.41,-0.24,-0,0,-0.05
Other Expense / Income,-2.1,-1.75,-1.01,-0.29,-0.06,-,-,-
Pretax Income,1.62,1.54,0.82,-0.11,-0.18,-0,0,-0.05
Net Income,1.62,1.54,0.82,-0.11,-0.18,-0,0,-0.05
Shares Outstanding (Basic),24,24,24,23,20,5,5,4
Shares Outstanding (Diluted),24,24,24,23,20,5,5,4
Shares Change,19.05%,400.20%,342.31%,468.45%,-,-,-,-
EPS (Basic),-0.02,0.04,-0.01,-0.02,-1.31,-,-,-0.01
EPS (Diluted),-0.02,0.04,-0.01,-0.02,-1.31,-,-,-0.01
Free Cash Flow Per Share,-0.01,0.01,-0.00,-0.00,-0.08,-,-,-
EBITDA,1.62,1.54,0.82,-0.11,-0.18,-0,0,-0.05
EBIT,1.62,1.54,0.82,-0.11,-0.18,-0,0,-0.05
