Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",-2.1,0.25,0.28,0.25,-0.38,0.07,0
Operating Expenses,-2.1,0.25,0.28,0.25,-0.38,0.07,0
Operating Income,2.1,-0.25,-0.28,-0.25,0.38,-0.07,-0
Other Expense / Income,1.93,-0.52,-0.16,-0.01,0.63,-0,-
Pretax Income,0.18,0.27,-0.12,-0.24,-0.25,-0.07,-0
Income Tax,0.19,0.13,0,0,0,0,0
Net Income,-0.01,0.15,-0.12,-0.24,-0.25,-0.07,-0
Shares Outstanding (Basic),5,14,14,14,6,9,3
Shares Outstanding (Diluted),5,14,14,14,6,9,3
Shares Change,-22.85%,63.27%,475.00%,-,-,-,-
EPS (Basic),-0.03,-0.02,-0.01,-0.02,-0.03,-0.01,-
EPS (Diluted),-0.03,-0.02,-0.01,-0.02,-0.03,-0.01,-
Free Cash Flow Per Share,-0.03,-0.01,-0.01,-0.01,-0.01,-0.09,-
Effective Tax Rate,105.37%,46.57%,-,-,-,-,-
EBITDA,0.18,0.27,-0.12,-0.24,-0.25,-0.07,-0
EBIT,0.18,0.27,-0.12,-0.24,-0.25,-0.07,-0
