Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30
Revenue,36.28,32.11,26.78,29.07,16.27,23.47,22.23,23.54,15.22,22.5,16.89,13.53,15.78,17.96,14.16,13.3,15.1,12.29,13.41
Revenue Growth (YoY),122.94%,36.78%,20.48%,23.51%,6.90%,4.32%,31.59%,73.91%,-3.52%,25.31%,19.28%,1.73%,4.48%,46.16%,5.58%,-,-,-,-
Gross Profit,36.28,32.11,26.78,29.07,16.27,23.47,22.23,23.54,15.22,22.5,16.89,13.53,15.78,17.96,14.16,13.3,15.1,12.29,13.41
"Selling, General & Admin",10.45,12.23,7.23,6.98,5.77,5.15,5.19,4.98,5.65,4.56,6.11,6.31,5.5,4.42,4.08,4.2,4.34,4.16,4.13
Other Operating Expenses,11.06,8.18,5.49,7.3,6.49,6.95,6.11,5.67,4.97,6.19,5.76,4.6,6.55,5.4,4.4,4.13,4.16,4.71,4.44
Operating Expenses,21.52,20.41,12.73,14.28,12.25,12.1,11.3,10.65,10.62,10.75,11.87,10.91,12.05,9.81,8.48,8.32,8.5,8.87,8.57
Operating Income,14.76,11.69,14.05,14.79,4.02,11.38,10.93,12.89,4.6,11.75,5.03,2.63,3.73,8.14,5.68,4.98,6.6,3.41,4.85
Other Expense / Income,0.09,-0.24,0.31,0.13,0.11,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Pretax Income,14.67,11.93,13.74,14.66,3.91,11.38,10.93,12.89,4.6,11.75,5.03,2.63,3.73,8.14,5.68,4.98,6.6,3.41,4.85
Income Tax,4.02,3.47,3.76,4.02,0.79,3.02,2.91,3.43,1.21,2.18,1.54,0.48,1.15,2.96,1.8,1.44,1.91,4.38,1.53
Net Income,10.65,8.46,9.98,10.65,3.12,8.35,8.02,9.45,3.4,9.58,3.48,2.14,2.58,5.18,3.88,3.54,4.7,-0.96,3.32
Preferred Dividends,0.16,0.13,0.15,0.16,0.05,0.71,3.03,3.57,1.28,0,0,48.96,0,0,0,0,0,0,0
Net Income Common,10.49,8.33,9.83,10.48,3.07,7.65,4.99,5.88,2.12,9.58,3.48,-46.81,2.58,5.18,3.88,3.54,4.7,-0.96,3.32
Net Income Growth,241.33%,8.96%,96.94%,78.19%,45.30%,-20.13%,43.41%,-,-17.99%,84.79%,-10.28%,-,-45.07%,-,16.94%,-,-,-,-
Shares Outstanding (Basic),32,32,32,32,32,23,20,20,20,20,20,20,20,19,19,19,19,19,-
Shares Outstanding (Diluted),34,34,34,34,34,34,34,34,33,20,32,20,20,-,-,-,-,-,-
Shares Change,-0.44%,-0.84%,-0.04%,0.29%,2.39%,71.03%,5.48%,69.06%,66.31%,5.72%,70.71%,5.72%,5.72%,-,-,-,-,-,-
EPS (Basic),0.33,0.26,0.31,0.33,0.10,0.25,0.25,0.29,0.11,0.48,0.17,-2.33,0.13,-,-,-,-,-,-
EPS (Diluted),0.31,0.24,0.29,0.31,0.09,0.24,0.23,0.28,0.10,0.48,0.11,-2.33,0.13,-,-,-,-,-,-
EPS Growth,244.44%,0%,26.09%,10.71%,-10.00%,-50.00%,109.09%,-,-23.08%,-,-,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,-0.37,1.25,-0.14,0.04,0.37,0.79,0.93,0.52,0.52,0.86,0.66,1.10,0.03,-1.51,-4.58,-1.63,2.07,-2.73,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,40.68%,36.42%,52.47%,50.88%,24.71%,48.47%,49.17%,54.75%,30.25%,52.24%,29.75%,19.40%,23.62%,45.34%,40.08%,37.43%,43.71%,27.79%,36.13%
Profit Margin,28.92%,25.96%,36.72%,36.06%,18.89%,32.58%,22.46%,24.99%,13.90%,42.56%,20.61%,-345.92%,16.35%,28.86%,27.40%,26.57%,31.09%,-7.84%,24.74%
Free Cash Flow Margin,-33.01%,124.48%,-16.81%,3.83%,72.34%,76.27%,83.81%,44.19%,68.10%,76.79%,78.93%,163.22%,3.94%,-159.54%,-614.41%,-232.77%,260.07%,-422.56%,-
Effective Tax Rate,27.41%,29.05%,27.35%,27.41%,20.20%,26.58%,26.59%,26.64%,26.24%,18.52%,30.73%,18.44%,30.80%,36.35%,31.64%,29.00%,28.87%,128.21%,31.53%
EBITDA,15.18,12.46,14.26,15.19,4.45,12.02,11.53,13.39,5.27,12.37,5.64,3.24,4.33,8.83,6.21,5.6,7.22,3.78,-
EBITDA Margin,41.83%,38.81%,53.26%,52.27%,27.33%,51.21%,51.87%,56.87%,34.64%,54.96%,33.42%,23.93%,27.44%,49.20%,43.87%,42.09%,47.82%,30.76%,-
Depreciation & Amortization,0.51,0.53,0.52,0.53,0.54,0.64,0.6,0.5,0.67,0.61,0.62,0.61,0.6,0.69,0.54,0.62,0.62,0.37,-
EBIT,14.67,11.93,13.74,14.66,3.91,11.38,10.93,12.89,4.6,11.75,5.03,2.63,3.73,8.14,5.68,4.98,6.6,3.41,4.85
EBIT Margin,40.44%,37.15%,51.32%,50.45%,24.04%,48.47%,49.17%,54.75%,30.25%,52.24%,29.75%,19.40%,23.62%,45.34%,40.08%,37.43%,43.71%,27.79%,36.13%
