Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
"Selling, General & Admin",0.45,0.2,0.22,0.38,0.35,0.27,0.34,0.18,0
Other Operating Expenses,0.05,0.05,0.05,0.05,0.05,0.09,0.05,0.05,0
Operating Expenses,0.5,0.25,0.27,0.43,0.4,0.36,0.39,0.23,0
Operating Income,-0.5,-0.25,-0.27,-0.43,-0.4,-0.36,-0.39,-0.23,-0
Other Expense / Income,-3.09,-2.77,-4.05,-4.74,-2.84,-2.07,-9.94,1.41,-
Pretax Income,2.6,2.52,3.79,4.31,2.44,1.71,9.56,-1.64,-0
Income Tax,0.64,0.52,0.34,0.01,0,0,0,0,0
Net Income,1.96,2,3.45,4.3,2.44,1.71,9.56,-1.64,-0
Net Income Growth,-19.59%,16.69%,-63.94%,-,-,-,-,-,-
Shares Outstanding (Basic),40,40,40,40,40,26,40,13,7
Shares Outstanding (Diluted),40,40,40,40,40,26,40,13,7
Shares Change,-,51.49%,-,200.00%,475.00%,-,-,-,-
EPS (Basic),0.05,0.05,0.09,0.11,0.06,-,0.24,-0.12,-
EPS (Diluted),0.05,0.05,0.09,0.11,0.06,-,0.24,-0.12,-
EPS Growth,-16.67%,-,-62.50%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.01,-0.00,-0.01,-0.00,-0.01,-0.00,-0.00,-0.08,-
Effective Tax Rate,24.60%,20.69%,8.99%,0.23%,-,-,-,-,-
EBITDA,2.6,2.52,3.79,4.31,2.44,1.71,9.56,-1.64,-0
EBIT,2.6,2.52,3.79,4.31,2.44,1.71,9.56,-1.64,-0
