Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30
Revenue,8.3,8.77,8.92,9.87,8.79,9.45,9.73,9.65,9.54,9.96,10.75,9.03,5.9,5.8,6.03,6.82,6.25,6.7,7.18,7.32,6.79,7.37,7.26,-
Revenue Growth (YoY),-5.63%,-7.12%,-8.30%,2.24%,-7.86%,-5.19%,-9.44%,6.91%,61.70%,71.86%,78.26%,32.36%,-5.60%,-13.43%,-16.01%,-6.79%,-7.92%,-9.09%,-1.20%,-,-,-,-,-
Cost of Revenue,2.19,2.23,2.02,2.06,2.07,2.42,2.65,2.17,2.34,2.38,2.4,1.24,1.75,1.72,1.77,1.7,1.64,1.75,1.84,1.74,1.45,1.47,1.27,-
Gross Profit,6.1,6.54,6.9,7.8,6.73,7.03,7.08,7.48,7.21,7.58,8.35,7.79,4.15,4.07,4.26,5.12,4.61,4.94,5.34,5.58,5.34,5.9,5.99,-
"Selling, General & Admin",2.36,2.38,2.46,2.65,2.41,1.89,2.84,2.79,2.2,2.38,2.71,2.03,1.7,1.62,1.7,1.65,1.68,1.84,1.94,1.8,2.31,2.14,2.08,-
Other Operating Expenses,3.58,4.06,3.66,3.5,3.28,3.81,5.89,3.91,2.96,3.46,2.77,3.62,2.63,2.55,2.5,3.5,2.78,3.04,2.83,3.19,2.81,3.09,2.52,0
Operating Expenses,5.94,6.44,6.12,6.14,5.68,5.7,8.73,6.71,5.17,5.85,5.48,5.65,4.33,4.17,4.2,5.15,4.45,4.88,4.77,4.99,5.12,5.22,4.6,-
Operating Income,0.17,0.1,0.78,1.66,1.04,1.33,-1.65,0.77,2.04,1.74,2.87,2.14,-0.18,-0.1,0.06,-0.03,0.16,0.06,0.57,0.58,0.22,0.68,1.39,-
Interest Expense / Income,0,0,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.07,0,0.01,-
Other Expense / Income,0.04,-0.19,0.05,0.06,-0.26,0.21,-0.01,-0.03,-0.03,-0.06,-0.13,-0.45,0.02,0,-0.03,-0.03,-0,-0.03,0.17,0.05,0.13,0.08,0.01,-
Pretax Income,0.12,0.29,0.72,1.6,1.29,1.11,-1.64,0.8,2.06,1.79,2.99,2.58,-0.21,-0.12,0.08,-0.01,0.16,0.09,0.39,0.52,0.02,0.59,1.37,-
Income Tax,-0.03,0.11,0.23,0.47,0.42,0.08,0.24,0.1,0.48,0.44,0.77,0.77,-0.19,-0.04,0.03,0.16,0.08,0.03,0.1,-0.37,0.02,0.61,0.5,-
Net Income,0.15,0.18,0.5,1.13,0.87,1.02,-1.88,0.7,1.58,1.35,2.22,1.81,-0.02,-0.07,0.05,-0.16,0.08,0.06,0.29,0.88,0,-0.02,0.87,-
Net Income Growth,-82.38%,-82.24%,-,62.96%,-45.03%,-24.30%,-,-61.59%,-,-,3943.27%,-,-,-,-80.80%,-,9641.21%,-,-67.20%,-,-,-,-,-
Shares Outstanding (Basic),40,40,40,40,39,38,38,38,38,38,38,42,37,37,37,37,34,30,30,30,30,30,30,30
Shares Outstanding (Diluted),40,40,40,40,39,38,38,38,38,38,38,42,37,37,38,38,38,38,38,38,38,30,38,-
Shares Change,4.14%,4.93%,5.01%,5.15%,0.93%,-,-,-7.64%,2.83%,2.83%,0.23%,8.76%,-2.31%,-2.31%,0.23%,-,-,29.56%,-,29.56%,-,-,-,-
EPS (Basic),-,-,0.01,0.03,0.02,0.03,-0.05,0.02,0.04,0.04,0.06,0.05,-,-,-,-,-,-,0.01,0.03,-,-,0.03,-
EPS (Diluted),-,-,0.01,0.03,0.02,0.03,-0.05,0.02,0.04,0.04,0.06,0.05,-,-,-,-,-,-,0.01,0.03,-,-,0.02,-
EPS Growth,-,-,-,50.00%,-50.00%,-25.00%,-,-60.00%,-,-,-,-,-,-,-,-,-,-,-50.00%,-,-,-,-,-
Free Cash Flow Per Share,-0.01,0.00,0.02,0.03,-0.01,-0.06,0.02,0.05,0.02,0.02,0.09,0.04,-,-0.01,0.00,0.01,-0.01,0.02,0.01,0.02,0.04,0.02,0.01,-
Gross Margin,73.55%,74.57%,77.32%,79.09%,76.51%,74.40%,72.75%,77.52%,75.52%,76.13%,77.67%,86.27%,70.33%,70.25%,70.65%,75.03%,73.81%,73.85%,74.38%,76.21%,78.68%,80.05%,82.50%,-
Operating Margin,2.00%,1.14%,8.71%,16.82%,11.87%,14.04%,-16.92%,8.02%,21.38%,17.44%,26.70%,23.70%,-3.07%,-1.74%,1.01%,-0.46%,2.59%,0.96%,7.92%,7.96%,3.28%,9.16%,19.13%,-
Profit Margin,1.85%,2.07%,5.57%,11.49%,9.89%,10.83%,-19.33%,7.21%,16.59%,13.57%,20.66%,20.06%,-0.29%,-1.29%,0.91%,-2.39%,1.21%,0.94%,3.98%,12.09%,0.01%,-0.30%,12.00%,-
Free Cash Flow Margin,-2.86%,1.29%,9.75%,12.03%,-3.73%,-24.48%,8.84%,19.29%,9.39%,7.88%,33.50%,17.00%,0.12%,-7.96%,0.38%,7.48%,-4.52%,6.93%,1.87%,8.65%,15.59%,7.82%,5.74%,-
Effective Tax Rate,-24.08%,37.12%,31.28%,29.26%,32.60%,7.61%,-,12.54%,23.31%,24.49%,25.67%,29.71%,-,-,34.80%,-,52.51%,28.65%,26.62%,-71.22%,96.74%,103.73%,36.30%,-
EBITDA,0.55,0.36,1.11,2.01,1.59,1.42,-1.31,1.08,2.44,2.08,3.29,2.82,0.07,0.12,0.35,0.18,0.34,0.27,0.57,0.68,0.3,0.71,1.49,-
EBITDA Margin,6.66%,4.07%,12.46%,20.37%,18.13%,15.08%,-13.49%,11.16%,25.58%,20.89%,30.62%,31.20%,1.17%,2.09%,5.87%,2.65%,5.46%,4.04%,7.97%,9.25%,4.41%,9.62%,20.57%,-
Depreciation & Amortization,0.42,0.06,0.38,0.41,0.29,0.31,0.32,0.27,0.37,0.28,0.29,0.23,0.27,0.23,0.26,0.18,0.17,0.17,0.17,0.15,0.2,0.11,0.11,-
EBIT,0.13,0.29,0.73,1.6,1.3,1.12,-1.63,0.81,2.07,1.8,3,2.59,-0.2,-0.11,0.1,0,0.17,0.1,0.4,0.53,0.1,0.6,1.38,-
EBIT Margin,1.55%,3.34%,8.20%,16.25%,14.79%,11.83%,-16.77%,8.35%,21.73%,18.07%,27.88%,28.65%,-3.35%,-1.82%,1.58%,0.03%,2.67%,1.43%,5.54%,7.26%,1.42%,8.08%,18.99%,-
