Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Revenue,15.78,18.31,13.58,14.81,12.26,12.63,10.95,8.58,7.54,9.29,8.36
Revenue Growth (YoY),28.69%,45.01%,24.01%,72.51%,62.50%,35.93%,30.89%,-,-,-,-
Cost of Revenue,11.08,12.97,9.33,11.05,9.04,8.95,7.22,6.44,5.25,6.52,6.2
Gross Profit,4.69,5.34,4.25,3.76,3.22,3.67,3.72,2.14,2.29,2.77,2.17
"Selling, General & Admin",6.08,4.92,4.9,4.23,4.02,3.94,2.69,3,2.65,3.33,2.05
Other Operating Expenses,0,0,0,0,0,0,0,0,0,-0.05,0.03
Operating Expenses,6.08,4.92,4.9,4.23,4.02,3.94,2.69,3,2.65,3.28,2.08
Operating Income,-1.39,0.42,-0.65,-0.47,-0.81,-0.27,1.04,-0.85,-0.35,-0.51,0.09
Interest Expense / Income,-0.14,-0.11,0.01,0,-0.09,0.07,0.03,0.03,0.01,0.01,0
Other Expense / Income,-0.19,-0.06,0.2,0.02,0.01,0.07,-0.01,-0.77,-,-,-
Pretax Income,-1.06,0.6,-0.86,-0.49,-0.72,-0.41,1.02,-0.11,-0.37,-0.52,0.09
Income Tax,-0.36,-0.31,-0.17,-0.04,-0.18,-0.38,0.29,0.06,-0.08,0,0.32
Net Income,-0.69,0.9,-0.69,-0.45,-0.55,-0.03,0.72,-0.17,-0.29,-0.52,-0.23
Shares Outstanding (Basic),18,18,20,20,20,11,10,10,10,10,-
Shares Outstanding (Diluted),18,19,31,32,20,21,10,10,10,-,-
Shares Change,-7.89%,-8.66%,213.81%,216.84%,100.61%,110.24%,-,-,-,-,-
EPS (Basic),-0.04,0.05,-0.03,-0.02,-0.03,-0.01,0.07,-0.02,-0.03,-,-
EPS (Diluted),-0.04,0.01,-0.02,-0.01,-0.03,-0.02,0.07,-0.02,-0.03,-,-
Free Cash Flow Per Share,-0.21,0.22,-0.21,-0.49,0.35,-0.35,-0.04,-0.14,-0.01,-0.17,-
Gross Margin,29.75%,29.18%,31.29%,25.39%,26.25%,29.10%,34.02%,24.99%,30.38%,29.80%,25.89%
Operating Margin,-8.78%,2.30%,-4.78%,-3.19%,-6.57%,-2.11%,9.46%,-9.95%,-4.69%,-5.50%,1.02%
Profit Margin,-4.40%,4.93%,-5.07%,-3.02%,-4.45%,-0.23%,6.61%,-1.97%,-3.85%,-5.59%,-2.76%
Free Cash Flow Margin,-24.58%,20.89%,-29.96%,-66.25%,57.19%,-30.15%,-4.00%,-15.74%,-1.12%,-18.85%,-11.35%
Effective Tax Rate,-,-51.11%,-,-,-,-,28.73%,-,-,-,369.70%
EBITDA,-0.94,0.71,-0.66,-0.32,-0.67,-0.23,1.19,0.02,-0.27,-0.42,0.14
EBITDA Margin,-5.94%,3.89%,-4.88%,-2.17%,-5.46%,-1.80%,10.85%,0.23%,-3.57%,-4.57%,1.62%
Depreciation & Amortization,0.26,0.23,0.19,0.17,0.14,0.11,0.15,0.1,0.08,0.09,0.05
EBIT,-1.2,0.48,-0.85,-0.49,-0.81,-0.34,1.04,-0.08,-0.35,-0.51,0.09
EBIT Margin,-7.58%,2.64%,-6.26%,-3.29%,-6.64%,-2.69%,9.52%,-0.98%,-4.69%,-5.50%,1.02%
