Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
"Selling, General & Admin",0.4,0.29,0.41,0.26,-0,0
Operating Expenses,0.4,0.29,0.41,0.26,-0,0
Operating Income,-0.4,-0.29,-0.41,-0.26,0,-0
Other Expense / Income,-2.27,0.55,-2.02,-7.44,-,-
Pretax Income,1.87,-0.84,1.61,7.19,0,-0
Net Income,1.87,-0.84,1.61,7.19,0,-0
Net Income Growth,206290.08%,-,-,-,-,-
Shares Outstanding (Basic),16,16,16,12,3,3
Shares Outstanding (Diluted),16,16,16,12,3,3
Shares Change,400.22%,400.00%,-,-,-,-
EPS (Basic),0.11,-0.05,0.10,0.58,-,-
EPS (Diluted),0.11,-0.05,0.10,0.58,-,-
Free Cash Flow Per Share,-0.00,-0.01,-0.01,-0.07,-,-
EBITDA,1.87,-0.84,1.61,7.19,0,-0
EBIT,1.87,-0.84,1.61,7.19,0,-0
