Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31
Revenue,28.21,25.51,23.45,25.11,26.47,26.4,26.87,25.08,21.82,19.79,14.8,14.43,15.7,16.23,20.43,20.35,19.65,19.8,18.88,17.73,18.56,16.58,17.26,17.24,16.16,-
Revenue Growth (YoY),6.58%,-3.37%,-12.74%,0.11%,21.29%,33.38%,81.55%,73.86%,39.04%,21.90%,-27.57%,-29.12%,-20.11%,-18.01%,8.23%,14.79%,5.85%,19.41%,9.39%,2.84%,14.88%,-,-,-,-,-
Gross Profit,28.21,25.51,23.45,25.11,26.47,26.4,26.87,25.08,21.82,19.79,14.8,14.43,15.7,16.23,20.43,20.35,19.65,19.8,18.88,17.73,18.56,16.58,17.26,17.24,16.16,-
"Selling, General & Admin",11.79,11.11,11.62,10.6,10.77,9.63,9.96,9.58,8.21,9.78,8.55,8.18,8.69,8.48,9.14,9.06,8.67,8.71,8.17,8.45,8.31,8.24,7.64,7.52,7.33,-
Other Operating Expenses,1.97,2.01,2.07,1.65,1.3,1.54,1.28,1.56,1.46,1.77,1.34,1.51,1.88,1.78,1.64,1.93,1.62,1.43,1.35,2.49,1.32,1.38,1.32,1.27,1.19,0
Operating Expenses,13.75,13.12,13.7,12.25,12.07,11.17,11.23,11.14,9.67,11.55,9.89,9.7,10.57,10.27,10.78,10.98,10.29,10.14,9.52,10.94,9.63,9.62,8.96,8.8,8.52,-
Operating Income,14.46,12.39,9.75,12.86,14.4,15.23,15.64,13.94,12.15,8.24,4.91,4.73,5.13,5.97,9.66,9.37,9.36,9.67,9.36,6.79,8.93,6.96,8.3,8.44,7.64,-
Pretax Income,14.46,12.39,9.75,12.86,14.4,15.23,15.64,13.94,12.15,8.24,4.91,4.73,5.13,5.97,9.66,9.37,9.36,9.67,9.36,6.79,8.93,6.96,8.3,8.44,7.64,-
Income Tax,4.16,3.69,2.8,3.77,4.16,4.55,4.61,4.1,3.59,2.45,1.46,1.36,1.56,1.81,2.87,2.77,2.79,2.93,2.82,2.03,2.67,4.62,3.49,3.58,3.24,-
Net Income,10.3,8.7,6.95,9.09,10.24,10.68,11.02,9.84,8.56,5.79,3.45,3.37,3.57,4.16,6.79,6.6,6.56,6.73,6.54,4.76,6.26,2.34,4.81,4.86,4.4,-
