Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
"Selling, General & Admin",0.78,0.29,0.43,0.69,0.33,0.28,0.97,0.26,0.01
Operating Expenses,0.78,0.29,0.43,0.69,0.33,0.28,0.97,0.26,0.01
Operating Income,-0.78,-0.29,-0.43,-0.69,-0.33,-0.28,-0.97,-0.26,-0.01
Interest Expense / Income,0,0,0,0,0,0,0,0,0
Other Expense / Income,-3.01,-1.48,-7.11,-6.47,-1.98,-6.08,-2.7,1.94,-
Pretax Income,2.23,1.19,6.68,5.78,1.65,5.8,1.73,-2.2,-0.01
Net Income,2.23,1.19,6.68,5.78,1.65,5.8,1.73,-2.2,-0.01
Net Income Growth,35.29%,-79.54%,286.75%,-,-,-,-,-,-
Shares Outstanding (Basic),60,60,60,60,61,60,60,39,11
Shares Outstanding (Diluted),60,60,60,60,61,60,60,39,11
Shares Change,-1.57%,-,-,55.76%,484.16%,-,-,-,-
EPS (Basic),0.03,0.02,0.11,0.10,0.03,0.10,0.03,-0.06,-
EPS (Diluted),0.03,0.02,0.11,0.10,0.03,0.10,0.03,-0.06,-
EPS Growth,0%,-80.00%,266.67%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.01,-0.04,-
EBITDA,2.23,1.19,6.69,5.78,1.65,5.8,1.73,-2.2,-0.01
EBIT,2.23,1.19,6.69,5.78,1.65,5.8,1.73,-2.2,-0.01
