Metrics,2022-12-31,2022-09-30,2022-06-30,2021-12-31,2021-09-30
"Selling, General & Admin",0.23,0.03,-,0,0
Operating Expenses,0.23,0.03,-,0,0
Operating Income,-0.23,-0.03,-,0,0
Other Expense / Income,-0.98,-0.13,-,-,-
Pretax Income,0.75,0.1,-,0,0
Income Tax,0.18,0.02,-,0,0
Net Income,0.57,0.07,-,0,0
Shares Outstanding (Basic),6,5,13,3,3
Shares Outstanding (Diluted),6,5,-,3,3
Shares Change,155.45%,-,-,-,-
EPS (Basic),0.09,0.01,-,-,-
EPS (Diluted),0.09,0.01,-,-,-
Free Cash Flow Per Share,-0.01,-0.05,-,-,-
Effective Tax Rate,24.24%,25.08%,-,-,-
EBITDA,0.75,0.1,-,-,-
EBIT,0.75,0.1,-,0,0
