Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31
Revenue,44,48.75,56.82,55.94,55.73,54.38,56.97,53.85,55.96,56.4,56.87,42.21,42.84,44.47,40.26,37.67,36.01,37.89,34.67,34.87,33.41
Revenue Growth (YoY),-21.05%,-10.35%,-0.26%,3.88%,-0.40%,-3.58%,0.17%,27.57%,30.61%,26.82%,41.25%,12.07%,18.96%,17.36%,16.14%,8.02%,7.80%,-,-,-,-
Gross Profit,44,48.75,56.82,55.94,55.73,54.38,56.97,53.85,55.96,56.4,56.87,42.21,42.84,44.47,40.26,37.67,36.01,37.89,34.67,34.87,33.41
"Selling, General & Admin",24.02,24.01,27.97,26.78,27.16,26.22,28.79,27.69,28.45,27.78,28,26.01,25.18,23.35,22.38,23,23.25,22.58,22.1,21.97,21.74
Other Operating Expenses,8.34,8.7,9.43,9.28,10.76,9.92,9.27,9.09,8.61,8.73,8,9.19,8.83,8.36,7.65,6.93,6.79,7.91,6.54,6.45,6.13
Operating Expenses,32.36,32.71,37.4,36.06,37.92,36.13,38.06,36.78,37.06,36.5,35.99,35.21,34.01,31.71,30.03,29.93,30.04,30.5,28.65,28.42,27.88
Operating Income,11.64,16.04,19.42,19.88,17.81,18.25,18.91,17.07,18.9,19.89,20.88,7,8.83,12.75,10.24,7.74,5.98,7.39,6.02,6.45,5.53
Pretax Income,11.64,16.04,19.42,19.88,17.81,18.25,18.91,17.07,18.9,19.89,20.88,7,8.83,12.75,10.24,7.74,5.98,7.39,6.02,6.45,5.53
Income Tax,2.39,3.42,3.96,4,3.53,3.63,3.72,3.42,3.74,3.97,4.15,1.39,1.75,2.65,1.98,1.66,1.2,1.53,1.11,-6.57,0.03
Net Income,9.24,12.62,15.46,15.88,14.28,14.61,15.19,13.65,15.16,15.92,16.73,5.62,7.08,10.11,8.26,6.08,4.77,5.86,4.91,13.01,5.5
Net Income Growth,-35.26%,-13.64%,1.76%,16.36%,-5.82%,-8.23%,-9.21%,143.10%,114.03%,57.52%,102.60%,-7.65%,48.40%,72.42%,68.08%,-53.28%,-13.23%,-,-,-,-
Shares Outstanding (Basic),17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,17,17,-,-,-
Shares Change,-3.65%,-4.44%,-3.27%,-2.32%,-1.94%,-1.49%,-0.58%,-0.13%,-0.06%,0.29%,0.42%,0.45%,3.35%,3.07%,-,-,-,-,-,-,-
EPS (Basic),0.54,0.74,0.89,0.91,0.81,0.82,0.85,0.76,0.84,0.88,0.93,0.31,0.39,0.58,0.46,0.37,0.32,0.39,0.33,0.88,0.37
EPS (Diluted),0.53,0.71,0.86,0.88,0.78,0.79,0.82,0.74,0.82,0.86,0.92,0.31,0.38,0.56,0.45,0.37,0.32,0.39,0.33,0.88,0.37
EPS Growth,-32.05%,-10.13%,4.88%,18.92%,-4.88%,-8.14%,-10.87%,138.71%,115.79%,53.57%,104.44%,-16.22%,18.75%,43.59%,36.36%,-57.95%,-13.51%,-,-,-,-
Free Cash Flow Per Share,1.44,0.22,1.62,1.04,3.92,1.09,0.41,3.33,0.45,-1.57,2.31,-0.78,0.18,0.41,0.01,-0.50,1.62,-1.07,-,-,-
Dividend Per Share,0.130,0.120,0.120,0.110,0.110,0.090,0.090,0.070,0.050,0.050,0.030,0.030,0.030,0.030,0.030,-,-,-,-,-,-
Dividend Growth,18.18%,33.33%,33.33%,57.14%,120.00%,80.00%,200.00%,133.33%,66.67%,66.67%,0%,-,-,-,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,26.45%,32.91%,34.18%,35.55%,31.95%,33.55%,33.19%,31.70%,33.77%,35.27%,36.71%,16.59%,20.61%,28.68%,25.42%,20.54%,16.60%,19.51%,17.37%,18.48%,16.56%
Profit Margin,21.01%,25.89%,27.20%,28.39%,25.62%,26.88%,26.66%,25.35%,27.09%,28.24%,29.42%,13.30%,16.53%,22.73%,20.51%,16.14%,13.25%,15.47%,14.17%,37.32%,16.47%
Free Cash Flow Margin,55.59%,7.60%,49.64%,32.80%,124.42%,35.53%,13.08%,111.35%,14.43%,-50.25%,73.45%,-33.49%,7.57%,16.38%,0.21%,-23.82%,78.58%,-49.48%,68.20%,11.83%,44.57%
Effective Tax Rate,20.55%,21.33%,20.40%,20.12%,19.81%,19.90%,19.66%,20.04%,19.78%,19.95%,19.86%,19.83%,19.78%,20.74%,19.32%,21.40%,20.14%,20.67%,18.42%,-101.91%,0.54%
EBITDA,13.33,17.73,21.19,21.69,19.51,19.84,20.52,18.68,20.52,21.53,22.56,8.66,10.44,14.25,11.49,8.96,7.23,8.67,7.32,7.73,6.86
EBITDA Margin,30.31%,36.37%,37.29%,38.77%,35.01%,36.49%,36.02%,34.69%,36.66%,38.18%,39.66%,20.50%,24.36%,32.04%,28.55%,23.78%,20.07%,22.87%,21.11%,22.16%,20.53%
Depreciation & Amortization,1.7,1.69,1.77,1.8,1.71,1.6,1.61,1.61,1.62,1.64,1.68,1.65,1.61,1.49,1.26,1.22,1.25,1.28,1.3,1.28,1.33
EBIT,11.64,16.04,19.42,19.88,17.81,18.25,18.91,17.07,18.9,19.89,20.88,7,8.83,12.75,10.24,7.74,5.98,7.39,6.02,6.45,5.53
