Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",1.14,1,0.79,0.89,0.64,0,0.03
Operating Expenses,1.14,1,0.79,0.89,0.64,0,0.03
Operating Income,-1.14,-1,-0.79,-0.89,-0.64,-0,-0.03
Other Expense / Income,-3.37,-3.13,-3.8,-4.98,-0.21,-,-
Pretax Income,2.23,2.12,3.01,4.09,-0.44,-0,-0.03
Net Income,2.23,2.12,3.01,4.09,-0.44,-0,-0.03
Shares Outstanding (Basic),29,29,29,29,29,6,6
Shares Outstanding (Diluted),29,29,29,29,29,6,6
Shares Change,-,400.00%,400.00%,-,-,-,-
EPS (Basic),0.09,0.07,0.10,0.14,-0.02,-,-
EPS (Diluted),0.09,0.07,0.10,0.14,-0.02,-,-
Free Cash Flow Per Share,-0.01,-0.00,-0.01,-0.01,-0.04,-0.02,-0.00
EBITDA,2.23,2.12,3.01,4.09,-0.44,-0,-0.03
EBIT,2.23,2.12,3.01,4.09,-0.44,-0,-0.03
