Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31
Revenue,89.98,85.6,82.85,71.88,78.95,139.57,70.26,70.71,61.73,60.17,47.64,17.46,49.14,67.53,67.94,69.29,68.59,70.15,66.98,68.83,66.58,82.66,78,65.55,-
Revenue Growth (YoY),13.97%,-38.67%,17.93%,1.66%,27.88%,131.97%,47.47%,305.05%,25.63%,-10.91%,-29.88%,-74.81%,-28.36%,-3.73%,1.42%,0.67%,3.03%,-15.13%,-14.13%,4.99%,-,-,-,-,-
Gross Profit,89.98,85.6,82.85,71.88,78.95,139.57,70.26,70.71,61.73,60.17,47.64,17.46,49.14,67.53,67.94,69.29,68.59,70.15,66.98,68.83,66.58,82.66,78,65.55,-
"Selling, General & Admin",44.26,42.46,38.73,41.23,40.1,38.54,34.6,36.97,31.23,39.23,32.55,25.79,33.13,40.07,37.74,38.29,37.48,43.57,38.01,38.99,37.76,38.08,38.37,35.72,-
Other Operating Expenses,20.47,19.78,17.38,21.02,20.72,16.55,13.81,14.16,12.39,12.4,12.95,10.95,11.74,11.66,15,14.62,14.47,11.08,14.03,13.65,17.89,17.52,13.86,14.95,0
Operating Expenses,64.73,62.24,56.11,62.24,60.82,55.09,48.4,51.13,43.63,51.63,45.5,36.74,44.87,51.73,52.74,52.91,51.95,54.65,52.04,52.64,55.65,55.6,52.22,50.67,-
Operating Income,25.24,23.36,26.74,9.64,18.13,84.48,21.85,19.58,18.11,8.54,2.14,-19.28,4.27,15.8,15.2,16.38,16.65,15.51,14.94,16.19,10.93,27.06,25.78,14.89,-
Other Expense / Income,-0.24,-0.16,-0.04,-0.07,-1.08,-1.16,-0.63,-0.82,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Pretax Income,25.49,23.51,26.78,9.71,19.2,85.64,22.49,20.4,18.11,8.54,2.14,-19.28,4.27,15.8,15.2,16.38,16.65,15.51,14.94,16.19,10.93,27.06,25.78,14.89,-
Income Tax,5.3,4.75,5.86,2.03,3.82,20.17,5.45,4.44,3.65,0.07,0.44,-4.01,0.89,2.33,3.27,3.52,3.58,1.08,3.39,5.76,1.5,18.24,8.44,4.5,-
Net Income,20.19,18.77,20.92,7.67,15.38,65.47,17.03,15.96,14.46,8.47,1.7,-15.28,3.38,13.48,11.93,12.86,13.07,14.43,11.55,10.42,9.43,8.82,17.34,10.39,-
Net Income Growth,31.26%,-71.34%,22.83%,-51.92%,6.36%,672.68%,900.65%,-,327.53%,-37.12%,-85.73%,-,-74.13%,-6.62%,3.29%,23.35%,38.63%,63.64%,-33.39%,0.32%,-,-,-,-,-
Shares Outstanding (Basic),34,34,34,34,35,38,37,38,38,42,42,42,42,43,43,43,42,42,42,42,42,42,42,42,42
Shares Outstanding (Diluted),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42,42,-,-,42,42,-
Shares Change,-2.32%,-10.00%,-9.88%,-9.42%,-8.94%,-10.96%,-11.10%,-10.47%,-9.90%,-2.46%,-2.42%,-2.40%,-0.65%,1.69%,1.68%,1.69%,0.00%,0.00%,-,-,-,-,-,-,-
EPS (Basic),0.60,0.56,0.62,0.23,0.44,1.77,0.46,0.43,0.38,0.20,0.04,-0.37,0.08,0.32,0.28,0.30,0.31,0.34,0.27,0.25,0.22,0.20,0.42,0.24,-
EPS (Diluted),0.60,0.55,0.62,0.23,0.44,1.75,0.45,0.42,0.38,0.20,0.04,-0.37,0.08,0.32,0.28,0.30,0.30,0.34,0.27,0.25,0.22,0.20,0.42,0.24,-
EPS Growth,36.36%,-68.57%,37.78%,-45.24%,15.79%,775.00%,1025.00%,-,375.00%,-37.50%,-85.71%,-,-73.33%,-5.88%,3.70%,20.00%,36.36%,70.00%,-35.71%,4.17%,-,-,-,-,-
Free Cash Flow Per Share,-0.67,-0.58,0.39,-1.15,-0.41,4.20,0.16,0.62,0.16,0.44,0.54,0.52,0.04,0.04,0.89,0.43,0.25,0.42,0.29,0.26,0.28,-0.46,1.66,-,-
Dividend Per Share,0.090,0.090,0.090,0.090,0.090,0.060,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dividend Growth,0%,50.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,-
Operating Margin,28.06%,27.29%,32.27%,13.41%,22.96%,60.53%,31.10%,27.69%,29.33%,14.19%,4.49%,-110.47%,8.69%,23.40%,22.37%,23.64%,24.27%,22.10%,22.31%,23.52%,16.42%,32.73%,33.05%,22.71%,-
Profit Margin,22.43%,21.92%,25.25%,10.68%,19.48%,46.91%,24.24%,22.58%,23.42%,14.08%,3.57%,-87.53%,6.88%,19.95%,17.56%,18.56%,19.06%,20.57%,17.24%,15.14%,14.16%,10.67%,22.23%,15.85%,-
Free Cash Flow Margin,-25.04%,-22.92%,15.77%,-54.54%,-17.78%,112.89%,8.44%,33.29%,10.07%,31.06%,47.91%,124.78%,3.78%,2.70%,56.61%,26.54%,15.50%,25.51%,18.54%,15.95%,17.63%,-23.76%,90.37%,-,-
Effective Tax Rate,20.80%,20.19%,21.89%,20.94%,19.91%,23.55%,24.26%,21.74%,20.15%,0.76%,20.47%,-,20.83%,14.73%,21.50%,21.51%,21.49%,6.93%,22.69%,35.61%,13.76%,67.41%,32.73%,30.22%,-
EBITDA,26.78,25.47,28.27,11,20.36,87.16,24.58,22.27,19.89,12.01,4.13,-17.32,6.23,17.02,17.13,18.39,18.59,17.97,16.94,18.13,13.07,29.31,28.1,-,-
EBITDA Margin,29.76%,29.75%,34.11%,15.31%,25.78%,62.45%,34.98%,31.50%,32.22%,19.96%,8.68%,-99.24%,12.68%,25.20%,25.21%,26.54%,27.10%,25.61%,25.29%,26.35%,19.64%,35.46%,36.03%,-,-
