Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
"Selling, General & Admin",2.58,-0.2,0.82,1.2,2.76,0.35,0.45,0.22,0.01
Operating Expenses,2.58,-0.2,0.82,1.2,2.76,0.35,0.45,0.22,0.01
Operating Income,-2.58,0.2,-0.82,-1.2,-2.76,-0.35,-0.45,-0.22,-0.01
Other Expense / Income,-1.84,-3.21,-2.85,-2.49,-1.52,-6.14,2.35,-3.6,-
Pretax Income,-0.74,3.4,2.03,1.3,-1.24,5.78,-2.8,3.38,-0.01
Net Income,-0.74,3.4,2.03,1.3,-1.24,5.78,-2.8,3.38,-0.01
Net Income Growth,-,-41.14%,-,-61.72%,-,-,-,-,-
Shares Outstanding (Basic),43,43,43,43,37,42,42,20,6
Shares Outstanding (Diluted),43,43,43,43,37,42,42,20,6
Shares Change,15.71%,2.68%,2.68%,114.29%,496.30%,-,-,-,-
EPS (Basic),-0.02,0.08,0.05,0.03,-0.05,0.14,-0.07,0.17,-
EPS (Diluted),-0.02,0.08,0.05,0.03,-0.05,0.14,-0.07,0.17,-
EPS Growth,-,-42.86%,-,-82.35%,-,-,-,-,-
Free Cash Flow Per Share,-0.01,-0.01,-0.01,-0.01,-0.00,-0.01,-0.00,-0.08,-
EBITDA,-0.74,3.4,2.03,1.3,-1.24,5.78,-2.8,3.38,-0.01
EBIT,-0.74,3.4,2.03,1.3,-1.24,5.78,-2.8,3.38,-0.01
