Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
"Selling, General & Admin",1.59,1.1,0.97,0.61,0.9,0.14,0,0.04
Operating Expenses,1.59,1.1,0.97,0.61,0.9,0.14,0,0.04
Operating Income,-1.59,-1.1,-0.97,-0.61,-0.9,-0.14,0,-0.04
Interest Expense / Income,0.02,0.01,0,0,0,0,0,0
Other Expense / Income,-0.34,-1,-0.43,-0.25,-0.04,0.06,-,-
Pretax Income,-1.27,-0.11,-0.55,-0.36,-0.87,-0.2,0,-0.04
Income Tax,0.1,0.29,0.09,0.01,0,0,0,0
Net Income,-1.37,-0.4,-0.64,-0.37,-0.87,-0.2,0,-0.04
Preferred Dividends,0.24,0.68,0.21,0.01,0,0,0,0
Net Income Common,-1.61,-1.08,-0.85,-0.38,-0.87,-0.2,0,-0.04
Shares Outstanding (Basic),7,7,7,7,8,10,9,5
Shares Outstanding (Diluted),7,7,7,7,8,10,9,5
Shares Change,-20.10%,-32.57%,-25.13%,25.37%,-,-,-,-
EPS (Basic),-0.25,-0.16,-0.13,-0.06,-0.11,-0.02,-,-0.01
EPS (Diluted),-0.25,-0.16,-0.13,-0.06,-0.11,-0.02,-,-0.01
Free Cash Flow Per Share,-0.09,-0.04,-0.02,-0.04,-0.16,-0.00,-,-
EBITDA,-1.25,-0.1,-0.55,-0.36,-0.87,-0.2,0,-0.04
EBIT,-1.25,-0.1,-0.55,-0.36,-0.87,-0.2,0,-0.04
