Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",1.06,1.19,1.17,1.25,0.8,0,0
Operating Expenses,1.06,1.19,1.17,1.25,0.8,0,0
Operating Income,-1.06,-1.19,-1.17,-1.25,-0.8,0,0
Other Expense / Income,-0.44,-3.37,-2.57,-3.11,-6.69,-,-
Pretax Income,-0.62,2.18,1.4,1.86,5.89,0,0
Net Income,-0.62,2.18,1.4,1.86,5.89,0,0
Shares Outstanding (Basic),25,25,25,25,8,4,4
Shares Outstanding (Diluted),25,25,25,25,8,4,4
Shares Change,216.09%,471.29%,471.29%,-,-,-,-
EPS (Basic),-0.03,0.09,0.06,0.07,0.74,-,-
EPS (Diluted),-0.03,0.09,0.06,0.07,0.74,-,-
Free Cash Flow Per Share,-0.01,-0.01,-0.01,-0.01,-0.12,-,-
EBITDA,-0.62,2.18,1.4,1.86,5.89,0,0
EBIT,-0.62,2.18,1.4,1.86,5.89,0,0
