Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30
"Selling, General & Admin",0.31,0.2,0.19,0.3,0.31,0.48,0.3,0.34,0.01,0.01
Operating Expenses,0.31,0.2,0.19,0.3,0.31,0.48,0.3,0.34,0.01,0.01
Operating Income,-0.31,-0.2,-0.19,-0.3,-0.31,-0.48,-0.3,-0.34,-0.01,-0.01
Other Expense / Income,-2.81,-1.48,-0.45,-0.03,-0.01,-0,-0.74,3.73,-,-
Pretax Income,2.5,1.28,0.26,-0.27,-0.31,-0.48,0.44,-4.07,-0.01,-0.01
Net Income,2.5,1.28,0.26,-0.27,-0.31,-0.48,0.44,-4.07,-0.01,-0.01
Net Income Growth,-,-,-41.52%,-,-,-,-,-,-,-
Shares Outstanding (Basic),41,41,41,41,37,41,41,36,8,9
Shares Outstanding (Diluted),41,41,41,41,37,41,41,36,8,9
Shares Change,9.63%,-,-,12.24%,394.10%,364.29%,-,-,-,-
EPS (Basic),0.06,0.03,0.01,-0.01,-0.01,-0.01,0.01,-0.11,-,-
EPS (Diluted),0.06,0.03,0.01,-0.01,-0.01,-0.01,0.01,-0.11,-,-
Free Cash Flow Per Share,-,-0.00,-0.00,-0.02,-0.00,-0.00,-0.00,-0.02,-,-
EBITDA,2.5,1.28,0.26,-0.27,-0.31,-0.48,0.44,-4.07,-0.01,-0.01
EBIT,2.5,1.28,0.26,-0.27,-0.31,-0.48,0.44,-4.07,-0.01,-0.01
