Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31
Revenue,19.02,21.83,31.67,43.85,53.33,57.9,50.34,33.55,31.98,12.99,5.75,9.23,12.74,-
Revenue Growth (YoY),-64.34%,-62.29%,-37.09%,30.69%,66.75%,345.86%,774.78%,263.49%,151.05%,-,-,-,-,-
Cost of Revenue,25.23,45.47,45.61,47.69,36.88,27.33,21.23,16.63,19.78,13.96,11.09,15.49,19.98,-
Gross Profit,-6.21,-23.64,-13.94,-3.84,16.46,30.57,29.11,16.92,12.21,-0.97,-5.33,-6.26,-7.24,-
"Selling, General & Admin",24.35,14.79,11.22,12.28,11.53,14.09,10.84,8.79,6.54,1.57,1.29,1.38,0.57,-
Other Operating Expenses,-4.78,113.61,0.34,0.34,0.23,0,0,0,-0.18,-14.17,-5.78,-10.11,-0.59,0
Operating Expenses,19.57,128.4,11.56,12.62,11.76,14.09,10.84,8.79,6.36,-12.6,-4.49,-8.72,-0.02,-
Operating Income,-25.78,-152.04,-25.5,-16.46,4.69,16.47,18.27,8.12,5.85,11.63,-0.84,2.46,-7.23,-
Interest Expense / Income,1.43,1.97,1.91,1.86,1.29,0.41,0.58,0.15,0.22,0.53,0.57,0.69,0.65,-
Other Expense / Income,-134.64,32.65,-3.63,61.27,-53.43,115.17,-0.01,-0.58,-0.14,-1.19,-0.51,-1.07,2.35,-
Pretax Income,107.43,-186.67,-23.79,-79.6,56.83,-99.1,17.7,8.55,5.76,12.28,-0.9,2.84,-10.23,-
Income Tax,-1.07,0,0,8.47,1.12,12.08,-5.68,12.59,-13.37,-15.05,0,0,0,-
Net Income,108.5,-186.67,-23.79,-88.07,55.71,-111.18,23.37,-4.04,19.13,27.33,-0.9,2.84,-10.23,-
Net Income Growth,94.77%,-,-,-,191.15%,-,-,-,-,-,-,-,-,-
Shares Outstanding (Basic),221,196,195,178,170,146,146,123,113,94,97,91,90,89
Shares Outstanding (Diluted),229,-,195,178,178,-,156,129,127,-,97,92,90,-
Shares Change,28.75%,33.94%,24.67%,37.69%,40.25%,56.11%,60.79%,41.25%,40.42%,4.97%,-,-,-,-
EPS (Basic),0.49,-0.98,-0.12,-0.49,0.33,-0.84,0.16,-0.03,0.17,0.29,-0.01,0.03,-0.11,-
EPS (Diluted),0.47,-0.98,-0.12,-0.49,0.31,-0.82,0.15,-0.03,0.15,0.29,-0.01,0.03,-0.11,-
EPS Growth,51.61%,-,-,-,106.67%,-,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,-0.04,-0.18,-0.16,-0.32,-0.32,-0.87,-0.58,-0.56,-0.30,0.01,-0.06,0.01,-0.02,-
Gross Margin,-32.63%,-108.28%,-44.02%,-8.76%,30.85%,52.79%,57.82%,50.42%,38.17%,-7.47%,-92.64%,-67.84%,-56.85%,-
Operating Margin,-135.51%,-696.39%,-80.52%,-37.55%,8.80%,28.45%,36.29%,24.21%,18.28%,89.52%,-14.62%,26.66%,-56.73%,-
Profit Margin,570.44%,-854.98%,-75.10%,-200.86%,104.45%,-192.02%,46.43%,-12.04%,59.83%,210.45%,-15.65%,30.77%,-80.30%,-
Free Cash Flow Margin,-49.89%,-162.45%,-100.46%,-128.11%,-103.15%,-220.44%,-168.00%,-206.19%,-106.06%,5.21%,-101.97%,12.29%,-14.95%,-
Effective Tax Rate,-1.00%,-,-,-,1.97%,-,-32.07%,147.25%,-231.96%,-122.53%,-,-,-,-
EBITDA,119.9,-155.69,3.81,-56.49,76.72,-89.38,23.47,11.68,11.79,16.57,3.21,10.49,-2.57,-
EBITDA Margin,630.35%,-713.10%,12.03%,-128.83%,143.84%,-154.37%,46.62%,34.81%,36.85%,127.57%,55.86%,113.68%,-20.16%,-
Depreciation & Amortization,11.04,29,25.68,21.25,18.59,9.32,5.19,2.98,5.8,3.75,3.55,6.96,7.01,-
EBIT,108.86,-184.7,-21.87,-77.73,58.12,-98.7,18.28,8.7,5.99,12.81,-0.33,3.53,-9.58,-
EBIT Margin,572.33%,-845.95%,-69.06%,-177.29%,108.98%,-170.46%,36.31%,25.93%,18.71%,98.68%,-5.75%,38.29%,-75.18%,-
