Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-08
"Selling, General & Admin",0.46,0.3,0.28,0.32,0.55,0.37,0,0.01,0.01
Operating Expenses,0.46,0.3,0.28,0.32,0.55,0.37,0,0.01,0.01
Operating Income,-0.46,-0.3,-0.28,-0.32,-0.55,-0.37,-0,-0.01,-0.01
Other Expense / Income,-2.43,-4.27,-1.67,-1.37,-6.22,-12.43,-,-,-
Pretax Income,1.96,3.97,1.39,1.06,5.67,12.07,-0,-0.01,-0.01
Income Tax,0.5,0.34,0.23,0.03,0,0,0,0,0
Net Income,1.46,3.63,1.17,1.02,5.67,12.07,-0,-0.01,-0.01
Net Income Growth,-74.17%,-69.96%,-,-,-,-,-,-,-
Shares Outstanding (Basic),28,28,28,28,28,6,5,5,5
Shares Outstanding (Diluted),28,28,28,28,28,6,5,5,5
Shares Change,0.68%,348.89%,456.25%,456.25%,452.50%,-,-,-,-
EPS (Basic),0.05,0.13,0.04,0.04,0.21,1.95,-,-,-
EPS (Diluted),0.05,0.13,0.04,0.04,0.21,1.95,-,-,-
EPS Growth,-76.19%,-93.33%,-,-,-,-,-,-,-
Free Cash Flow Per Share,-0.02,-0.01,-0.00,-0.01,-0.04,-0.01,-,-,-
Effective Tax Rate,25.42%,8.67%,16.33%,3.27%,-,-,-,-,-
EBITDA,1.96,3.97,1.39,1.06,5.67,12.07,-0,-0.01,-0.01
EBIT,1.96,3.97,1.39,1.06,5.67,12.07,-0,-0.01,-0.01
