Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30
Revenue,48.57,50.51,51.05,48.38,48.72,48.54,45.75,45.39,44.23,43.06,37.78,26.12,27.46,37.99,37.42,36.77,20.32,38.04,36.9,34.76,30.87,28.19,23.63,24.53,22.14,17.69,14.41,14.11,14.73,14.46,12.95,12.91,12.71,12.22,12.81
Revenue Growth (YoY),-0.32%,4.06%,11.59%,6.59%,10.17%,12.73%,21.10%,73.74%,61.05%,13.34%,0.96%,-28.95%,35.16%,-0.12%,1.41%,5.76%,-34.18%,34.92%,56.15%,41.69%,39.44%,59.34%,64.03%,73.82%,50.25%,22.37%,11.28%,9.33%,15.96%,18.28%,1.09%,-,-,-,-
Gross Profit,48.57,50.51,51.05,48.38,48.72,48.54,45.75,45.39,44.23,43.06,37.78,26.12,27.46,37.99,37.42,36.77,20.32,38.04,36.9,34.76,30.87,28.19,23.63,24.53,22.14,17.69,14.41,14.11,14.73,14.46,12.95,12.91,12.71,12.22,12.81
"Selling, General & Admin",25.59,26.32,24.82,23.94,23.88,23.91,20.86,20.21,19.38,20.66,20.37,18.72,19.97,18.66,19.57,19.16,20.03,19.33,18.26,17.01,15.61,13.51,12.21,12.14,11.57,9.14,8.25,7.96,7.74,7.58,6.97,7.21,7.09,7.95,7.4
Other Operating Expenses,8.13,8.93,7.42,7.5,5.58,14.18,9.45,5.6,5.5,7.8,110.47,5.21,5.79,6.18,4.65,5.86,5.52,5.81,5.39,8.97,4.02,7.21,4.18,3,3.66,7.57,2.48,1.98,1.89,4.08,1.9,1.82,1.61,1.48,1.87
Operating Expenses,33.72,35.25,32.24,31.44,29.46,38.09,30.32,25.81,24.88,28.46,130.84,23.94,25.76,24.85,24.22,25.02,25.54,25.14,23.65,25.98,19.63,20.72,16.39,15.13,15.23,16.71,10.73,9.94,9.63,11.66,8.87,9.03,8.7,9.43,9.26
Operating Income,14.85,15.26,18.81,16.94,19.26,10.45,15.43,19.58,19.35,14.6,-93.06,2.19,1.7,13.15,13.2,11.74,-5.23,12.9,13.25,8.79,11.24,7.47,7.24,9.4,6.91,0.98,3.67,4.17,5.1,2.79,4.08,3.88,4,2.79,3.54
Other Expense / Income,-,-,-,-,-,-,0.37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.06,-,-,-,0.32,-,-
Pretax Income,14.85,15.26,18.81,16.94,19.26,10.45,15.06,19.58,19.35,14.6,-93.06,2.19,1.7,13.15,13.2,11.74,-5.23,12.9,13.25,8.79,11.24,7.47,7.24,9.4,6.91,0.98,3.67,4.17,5.04,2.79,4.08,3.88,3.69,2.79,3.54
Income Tax,2.52,3.65,3.64,1.68,3.61,-0.02,3.29,4.42,4.27,2.11,-2.65,0.5,0.45,3.13,2.79,2.51,-1.15,2.97,2.93,1.92,2.53,3.2,2.08,3.05,2.05,0.56,1,1.33,1.6,0.24,1.34,1.31,1.25,1.01,1.11
Net Income,12.32,11.61,15.17,15.26,15.65,10.47,11.77,15.17,15.08,12.49,-90.41,1.69,1.26,10.01,10.41,9.23,-4.07,9.93,10.32,6.87,8.71,4.27,5.16,6.35,4.86,0.42,2.67,2.85,3.44,2.55,2.74,2.57,2.44,1.78,2.43
Preferred Dividends,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.04,0.04,0.04,0.04,0.1
Net Income Common,12.32,11.61,15.17,15.26,15.65,10.47,11.77,15.17,15.08,12.49,-90.41,1.69,1.26,10.01,10.41,9.23,-4.07,9.93,10.32,6.87,8.71,4.27,5.16,6.35,4.86,0.42,2.67,2.85,3.44,2.51,2.69,2.53,2.4,1.74,2.33
Net Income Growth,-21.26%,10.91%,28.86%,0.61%,3.81%,-16.19%,-,797.93%,1098.33%,24.71%,-,-81.70%,-,0.90%,0.81%,34.44%,-,132.22%,100.16%,8.07%,79.09%,924.94%,93.07%,123.26%,41.44%,-83.36%,-0.82%,12.67%,43.41%,44.27%,15.48%,-,-,-,-
Shares Outstanding (Basic),16,16,16,16,17,17,14,14,14,15,15,15,15,15,16,16,16,16,16,15,15,12,12,12,12,8,8,8,8,8,7,7,-,-,-
Shares Change,-5.17%,-5.42%,12.04%,13.55%,15.31%,13.45%,-5.62%,-5.69%,-6.26%,-3.81%,-2.22%,-3.44%,-2.47%,-2.22%,-1.42%,7.74%,8.20%,29.09%,29.34%,19.71%,24.66%,48.84%,48.51%,48.53%,42.68%,0.09%,22.51%,22.47%,-,-,-,-,-,-,-
EPS (Basic),0.78,0.73,0.94,0.95,0.94,0.57,0.82,1.06,1.04,0.78,-6.01,0.11,0.08,0.65,0.67,0.59,-0.26,0.63,0.65,0.45,0.60,0.30,0.42,0.52,0.41,-,0.32,0.35,0.42,0.34,0.43,0.40,0.38,0.28,0.38
EPS (Diluted),0.78,0.73,0.94,0.95,0.94,0.57,0.82,1.06,1.04,0.78,-6.01,0.11,0.08,0.65,0.67,0.58,-0.26,0.67,0.64,0.44,0.60,0.29,0.41,0.51,0.40,-,0.32,0.34,0.41,0.33,0.43,0.40,0.38,0.28,0.38
EPS Growth,-17.02%,28.07%,14.63%,-10.38%,-9.62%,-26.92%,-,863.64%,1200.00%,20.00%,-,-81.03%,-,-2.99%,4.69%,31.82%,-,131.03%,56.10%,-13.73%,50.00%,-,28.13%,50.00%,-2.44%,-,-25.58%,-15.00%,7.89%,17.86%,13.16%,-,-,-,-
Free Cash Flow Per Share,0.93,0.89,0.88,2.15,0.45,1.32,2.20,1.53,1.51,0.27,0.65,0.85,0.48,1.08,0.74,0.12,0.73,0.34,0.56,0.29,0.72,0.70,0.09,0.48,0.45,0.18,0.59,0.28,0.52,0.26,0.73,-0.36,-,-,-
Dividend Per Share,0.100,0.100,0.100,0.080,0.080,0.080,0.080,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dividend Growth,25.00%,25.00%,25.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,30.57%,30.22%,36.85%,35.02%,39.54%,21.53%,33.73%,43.14%,43.74%,33.90%,-246.34%,8.37%,6.20%,34.60%,35.27%,31.94%,-25.72%,33.91%,35.91%,25.28%,36.42%,26.51%,30.64%,38.32%,31.22%,5.54%,25.48%,29.57%,34.63%,19.32%,31.51%,30.07%,31.51%,22.85%,27.65%
Profit Margin,25.37%,22.98%,29.72%,31.54%,32.12%,21.56%,25.73%,33.41%,34.09%,29.00%,-239.31%,6.47%,4.58%,26.36%,27.81%,25.11%,-20.05%,26.09%,27.98%,19.75%,28.22%,15.16%,21.82%,25.90%,21.97%,2.36%,18.54%,20.16%,23.34%,17.33%,20.80%,19.57%,18.87%,14.21%,18.21%
Free Cash Flow Margin,30.40%,27.96%,27.71%,72.24%,15.49%,45.98%,68.93%,48.37%,49.32%,9.35%,26.01%,49.27%,26.81%,44.06%,30.73%,5.06%,56.60%,14.17%,24.05%,12.25%,34.23%,30.42%,4.61%,23.97%,23.57%,8.59%,33.74%,16.20%,29.15%,14.79%,37.93%,-18.68%,25.67%,34.53%,22.47%
Effective Tax Rate,17.00%,23.94%,19.36%,9.94%,18.76%,-0.15%,21.82%,22.55%,22.08%,14.46%,-,22.74%,26.13%,23.82%,21.14%,21.38%,-,23.04%,22.10%,21.85%,22.51%,42.80%,28.78%,32.42%,29.62%,57.49%,27.24%,31.80%,31.80%,8.59%,32.92%,33.82%,33.79%,36.31%,31.29%
EBITDA,17.1,17.53,21.11,19.46,21.74,12.94,17.26,21.78,21.53,16.78,-90.89,4.26,3.63,15.1,15.07,13.6,-3.4,14.5,14.78,10.19,12.33,8.53,8.11,10.25,7.71,1.64,4.18,4.68,5.56,3.32,4.56,4.36,4.15,3.47,3.95
EBITDA Margin,35.21%,34.70%,41.35%,40.22%,44.63%,26.66%,37.73%,47.99%,48.69%,38.97%,-240.59%,16.29%,13.22%,39.74%,40.28%,37.00%,-16.75%,38.13%,40.06%,29.30%,39.93%,30.24%,34.32%,41.78%,34.82%,9.28%,28.99%,33.14%,37.72%,22.96%,35.25%,33.77%,32.64%,28.36%,30.82%
Depreciation & Amortization,2.25,2.26,2.3,2.51,2.48,2.49,2.2,2.2,2.19,2.18,2.17,2.07,1.93,1.95,1.88,1.86,1.82,1.61,1.53,1.4,1.09,1.05,0.87,0.85,0.8,0.66,0.51,0.5,0.51,0.53,0.48,0.48,0.46,0.67,0.41
EBIT,14.85,15.26,18.81,16.94,19.26,10.45,15.06,19.58,19.35,14.6,-93.06,2.19,1.7,13.15,13.2,11.74,-5.23,12.9,13.25,8.79,11.24,7.47,7.24,9.4,6.91,0.98,3.67,4.17,5.04,2.79,4.08,3.88,3.69,2.79,3.54
EBIT Margin,30.57%,30.22%,36.85%,35.02%,39.54%,21.53%,32.92%,43.14%,43.74%,33.90%,-246.34%,8.37%,6.20%,34.60%,35.27%,31.94%,-25.72%,33.91%,35.91%,25.28%,36.42%,26.51%,30.64%,38.32%,31.22%,5.54%,25.48%,29.57%,34.24%,19.32%,31.51%,30.07%,29.02%,22.85%,27.65%
