Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2022-02-02
"Selling, General & Admin",0.14,0.21,0.15,0.09,0,0
Other Operating Expenses,0.02,0.03,0.02,0,0,0
Operating Expenses,0.16,0.24,0.17,0.1,0,0
Operating Income,-0.16,-0.24,-0.17,-0.1,-0,-0
Other Expense / Income,-1.09,-0.84,-0.45,-0.02,-,-
Pretax Income,0.93,0.6,0.28,-0.07,-0,-0
Income Tax,0.32,0.26,0,0,0,0
Net Income,0.61,0.33,0.28,-0.07,-0,-0
Shares Outstanding (Basic),13,8,13,3,2,2
Shares Outstanding (Diluted),13,8,13,3,2,2
Shares Change,422.87%,279.63%,-,-,-,-
EPS (Basic),-0.09,-1.45,-0.01,-4.12,-,-
EPS (Diluted),-0.09,-1.45,-0.01,-4.12,-,-
Free Cash Flow Per Share,-0.03,-0.02,-0.03,-0.02,-,-
Effective Tax Rate,34.41%,44.19%,-,-,-,-
EBITDA,0.93,0.6,0.28,-0.07,-0,-0
EBIT,0.93,0.6,0.28,-0.07,-0,-0
