Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-19
"Selling, General & Admin",0.61,0.82,1.7,1.39,1.26,1.41,0.59,0.01,0.01
Operating Expenses,0.61,0.82,1.7,1.39,1.26,1.41,0.59,0.01,0.01
Operating Income,-0.61,-0.82,-1.7,-1.39,-1.26,-1.41,-0.59,-0.01,-0.01
Other Expense / Income,-3.15,-1.63,-1.15,-3.25,-1.05,-2.31,-5.04,-,-
Pretax Income,2.55,0.8,-0.55,1.87,-0.21,0.9,4.45,-0.01,-0.01
Net Income,2.55,0.8,-0.55,1.87,-0.21,0.9,4.45,-0.01,-0.01
Net Income Growth,-,-11.16%,-,-,-,-,-,-,-
Shares Outstanding (Basic),27,27,27,27,27,16,19,5,3
Shares Outstanding (Diluted),27,27,27,27,27,16,19,5,3
Shares Change,-,69.60%,42.79%,491.26%,786.89%,-,-,-,-
EPS (Basic),0.09,0.03,-0.02,0.07,-0.01,-0.05,0.23,-,-
EPS (Diluted),0.09,0.03,-0.02,0.07,-0.01,-0.05,0.23,-,-
Free Cash Flow Per Share,-0.00,-0.01,-0.00,-0.00,-0.01,-0.02,-0.04,-0.01,-0.01
EBITDA,2.55,0.8,-0.55,1.87,-0.21,0.9,4.45,-0.01,-0.01
EBIT,2.55,0.8,-0.55,1.87,-0.21,0.9,4.45,-0.01,-0.01
