Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
"Selling, General & Admin",0.24,0.35,0.19,0.12,-
Operating Expenses,0.24,0.35,0.19,0.12,-
Operating Income,-0.24,-0.35,-0.19,-0.12,-
Other Expense / Income,-1.07,-0.57,-0.19,-0.01,-
Pretax Income,0.83,0.22,-0,-0.11,-
Income Tax,0.21,0.11,0.02,0,-
Net Income,0.62,0.11,-0.02,-0.11,-
Shares Outstanding (Basic),13,16,16,5,3
Shares Outstanding (Diluted),13,16,16,5,-
Shares Change,421.29%,-,-,-,-
EPS (Basic),0.05,0.01,-,-0.02,-
EPS (Diluted),0.05,0.01,-,-0.02,-
Free Cash Flow Per Share,-0.00,-0.01,-0.04,-0.00,-
Effective Tax Rate,25.78%,49.47%,-,-,-
EBITDA,0.83,0.22,-0,-0.11,-
EBIT,0.83,0.22,-0,-0.11,-
