Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
"Selling, General & Admin",0.49,0.24,0.16,0.35,0.43,0.22,0.2,0.09,0.2
Operating Expenses,0.49,0.24,0.16,0.35,0.43,0.22,0.2,0.09,0.2
Operating Income,-0.49,-0.24,-0.16,-0.35,-0.43,-0.22,-0.2,-0.09,-0.2
Other Expense / Income,-0.98,-0.53,-0.2,-0.1,-0.19,0,-0,0.01,-
Pretax Income,0.49,0.29,0.04,-0.25,-0.24,-0.22,-0.19,-0.1,-0.2
Net Income,0.49,0.29,0.04,-0.25,-0.24,-0.22,-0.19,-0.1,-0.2
Shares Outstanding (Basic),16,15,15,15,14,15,15,8,1
Shares Outstanding (Diluted),16,15,15,15,14,15,15,8,1
Shares Change,8.20%,-,-,84.51%,1062.44%,-,-,-,-
EPS (Basic),-0.03,-0.02,-0.01,-0.02,-0.02,-0.02,-0.01,-0.01,-0.16
EPS (Diluted),-0.03,-0.02,-0.01,-0.02,-0.02,-0.02,-0.01,-0.01,-0.16
Free Cash Flow Per Share,0.04,0.02,-0.00,-0.01,-0.03,-0.01,-0.01,-0.10,-0.06
EBITDA,0.49,0.29,0.04,-0.25,-0.24,-0.22,-0.19,-0.1,-0.2
EBIT,0.49,0.29,0.04,-0.25,-0.24,-0.22,-0.19,-0.1,-0.2
