Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30
Revenue,2.94,3.02,3.24,3.24,3.36,3.6,3.67,3.51,3.32,3.88,3.66,3.56,2.86,3.18,3.3
Revenue Growth (YoY),-12.67%,-16.22%,-11.74%,-7.83%,1.23%,-7.14%,0.30%,-1.18%,16.00%,22.11%,10.84%,-,-,-,-
Gross Profit,2.94,3.02,3.24,3.24,3.36,3.6,3.67,3.51,3.32,3.88,3.66,3.56,2.86,3.18,3.3
"Selling, General & Admin",2.22,2.07,2.02,1.96,2.02,2.18,2.13,2.13,2.03,2.41,2.06,2.01,2.28,2.26,2.23
Other Operating Expenses,0.4,0.36,0.32,0.34,0.37,0.33,0.8,0.43,0.36,0.46,0.44,0.34,0.37,0.39,0.35
Operating Expenses,2.62,2.43,2.35,2.3,2.38,2.5,2.93,2.56,2.39,2.88,2.49,2.35,2.65,2.65,2.58
Operating Income,0.32,0.59,0.89,0.94,0.98,1.1,0.74,0.96,0.94,1,1.17,1.2,0.22,0.52,0.72
Other Expense / Income,0.51,0.54,0.53,0.53,0.51,0.49,0.54,0.51,0.5,0.5,0.5,0.47,0.48,0.68,0.55
Pretax Income,-0.19,0.05,0.37,0.41,0.47,0.61,0.21,0.45,0.43,0.5,0.66,0.73,-0.27,-0.15,0.17
Income Tax,-0.04,0.01,0.07,0.07,0.08,0.09,0.03,0.08,0.08,0.1,0.02,0.05,-0.28,-0.16,0
Net Income,-0.15,0.05,0.3,0.35,0.4,0.52,0.17,0.37,0.35,0.4,0.64,0.68,0.01,0,0.17
Net Income Growth,-,-91.12%,73.41%,-6.50%,12.18%,29.18%,-72.97%,-45.81%,3430.00%,13266.67%,269.94%,-,-,-,-
Shares Outstanding (Basic),2,2,2,2,2,2,2,3,3,1,1,1,-,-,-
Shares Change,-4.77%,-3.80%,-1.20%,-3.67%,-3.67%,66.38%,66.38%,72.71%,-,-,-,-,-,-,-
EPS (Basic),-0.07,0.02,0.13,0.15,0.17,0.22,0.07,0.16,0.15,0.16,0.26,0.28,-,-,0.07
EPS (Diluted),-0.07,0.02,0.13,0.15,0.17,0.22,0.07,0.16,0.15,0.16,0.26,0.28,-,-,0.07
EPS Growth,-,-90.91%,85.71%,-6.25%,13.33%,37.50%,-73.08%,-42.86%,-,-,271.43%,-,-,-,-
Free Cash Flow Per Share,-0.22,0.55,-0.04,0.79,-0.27,0.97,-0.36,0.86,-0.07,0.66,-0.56,0.41,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,10.73%,19.60%,27.53%,29.11%,29.07%,30.50%,20.24%,27.18%,28.16%,25.84%,31.86%,33.80%,7.51%,16.47%,21.84%
Profit Margin,-5.18%,1.53%,9.26%,10.65%,11.78%,14.39%,4.71%,10.50%,10.63%,10.34%,17.49%,19.15%,0.35%,0.09%,5.24%
Free Cash Flow Margin,-17.34%,43.40%,-2.90%,59.86%,-19.88%,66.58%,-23.94%,62.49%,-5.48%,24.99%,-22.73%,16.84%,1.08%,55.53%,-58.87%
Effective Tax Rate,-,14.81%,18.03%,16.26%,15.92%,15.08%,16.02%,17.63%,18.29%,19.48%,3.47%,7.09%,-,-,-
EBITDA,0.06,0.31,0.62,0.66,0.72,0.87,0.48,0.73,0.71,0.77,0.94,1.02,0.02,0.13,0.46
EBITDA Margin,2.11%,10.28%,19.04%,20.44%,21.48%,24.17%,13.16%,20.72%,21.30%,19.86%,25.77%,28.54%,0.56%,4.09%,13.90%
Depreciation & Amortization,0.25,0.26,0.25,0.25,0.25,0.26,0.28,0.28,0.28,0.27,0.28,0.28,0.28,0.28,0.29
EBIT,-0.19,0.05,0.37,0.41,0.47,0.61,0.21,0.45,0.43,0.5,0.66,0.73,-0.27,-0.15,0.17
EBIT Margin,-6.54%,1.79%,11.30%,12.72%,14.01%,16.94%,5.61%,12.75%,13.01%,12.84%,18.11%,20.61%,-9.29%,-4.79%,5.24%
