Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",1.6,0.28,0.23,0.25,0.2,0.01,0.02,0.01
Operating Expenses,1.6,0.28,0.23,0.25,0.2,0.01,0.02,0.01
Operating Income,-1.6,-0.28,-0.23,-0.25,-0.2,-0.01,-0.02,-0.01
Other Expense / Income,-1.82,-1.41,-0.71,-0.15,0.08,0.02,-,-
Pretax Income,0.22,1.12,0.48,-0.1,-0.27,-0.03,-0.02,-0.01
Net Income,0.22,1.12,0.48,-0.1,-0.27,-0.03,-0.02,-0.01
Shares Outstanding (Basic),22,22,22,22,22,5,4,4
Shares Outstanding (Diluted),22,22,22,22,22,5,4,4
Shares Change,-,326.17%,475.00%,475.00%,-,-,-,-
EPS (Basic),0.01,0.06,0.02,-,-0.01,-,-0.01,-
EPS (Diluted),0.01,0.06,0.02,-,-0.01,-,-0.01,-
Free Cash Flow Per Share,-0.01,-0.00,-0.01,-0.01,-0.02,-0.01,-,-
EBITDA,0.22,1.12,0.48,-0.1,-0.27,-0.03,-0.02,-0.01
EBIT,0.22,1.12,0.48,-0.1,-0.27,-0.03,-0.02,-0.01
