Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-30,2020-09-30
"Selling, General & Admin",0.31,0.29,0.3,0.3,0.07,0,0,0,0,0
Other Operating Expenses,0.06,0.05,0.05,0.05,0.01,0,0,0,0,0
Operating Expenses,0.36,0.34,0.35,0.35,0.08,0,0,0,0,0
Operating Income,-0.36,-0.34,-0.35,-0.35,-0.08,0,-0,-0,-0,0
Other Expense / Income,-0.74,-0.59,-0.45,-0,-,-,-,-,-,-
Pretax Income,0.38,0.25,0.11,-0.34,-0.08,0,-0,-0,-0,0
Income Tax,0.14,0.11,0.07,0,0,0,0,0,0,0
Net Income,0.24,0.14,0.03,-0.34,-0.08,0,-0,-0,-0,0
Shares Outstanding (Basic),23,23,23,23,5,4,4,4,4,4
Shares Outstanding (Diluted),-,-,-,-,-,-,-,-,4,4
Shares Change,365.63%,431.71%,431.71%,431.71%,14.19%,-,-,-,-,-
EPS (Basic),0.01,0.01,-,-0.01,-0.02,-,-,-,-,-
EPS (Diluted),0.01,0.01,-,-0.01,-0.02,-,-,-,-,-
Free Cash Flow Per Share,-0.00,-0.01,-,-0.05,-,-,-,-,-,-
Effective Tax Rate,37.00%,45.14%,68.52%,-,-,-,-,-,-,-
EBITDA,0.38,0.25,0.11,-0.34,-0.08,0,-0,-0,-0,0
EBIT,0.38,0.25,0.11,-0.34,-0.08,0,-0,-0,-0,0
