Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-04-12
"Selling, General & Admin",0.58,0.74,0.73,0.5,1.4,0.81,0.3,0.03,0
Operating Expenses,0.58,0.74,0.73,0.5,1.4,0.81,0.3,0.03,0
Operating Income,-0.58,-0.74,-0.73,-0.5,-1.4,-0.81,-0.3,-0.03,-0
Other Expense / Income,-0.13,-0.47,-0.33,-0.12,-0.07,0.04,-0.05,-,-
Pretax Income,-0.44,-0.27,-0.4,-0.39,-1.32,-0.85,-0.25,-0.03,-0
Income Tax,0.02,0.12,0,0,0,0,0,0,0
Net Income,-0.47,-0.39,-0.4,-0.39,-1.32,-0.85,-0.25,-0.03,-0
Shares Outstanding (Basic),3,6,7,7,7,4,5,1,1
Shares Outstanding (Diluted),3,6,7,7,7,4,5,1,1
Shares Change,-60.06%,50.60%,62.60%,583.37%,496.96%,-,-,-,-
EPS (Basic),-0.26,-0.47,-0.24,-0.21,-0.32,-0.31,-0.13,-0.03,-
EPS (Diluted),-0.26,-0.47,-0.24,-0.21,-0.32,-0.31,-0.13,-0.03,-
Free Cash Flow Per Share,-0.08,0.06,-0.04,-0.05,-0.06,-0.05,-0.09,-0.17,-
EBITDA,-0.44,-0.27,-0.4,-0.39,-1.32,-0.85,-0.25,-0.03,-0
EBIT,-0.44,-0.27,-0.4,-0.39,-1.32,-0.85,-0.25,-0.03,-0
