Metrics,2022-09-30,2022-03-31,2021-03-31,2020-03-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-03-31
Revenue,-,-,-,-,4.54,4.92,-53.49,1.91,3.62,51.65,27.61,43.31,21.22,15.11,7.45,6.41,5.16,-
Revenue Growth (YoY),-,-,-,-,25.47%,-90.48%,-,-95.59%,-82.93%,241.77%,270.74%,575.90%,311.54%,-,-,-,-,-
Gross Profit,-,-,-,-,4.54,4.92,-53.49,1.91,3.62,51.65,27.61,43.31,21.22,15.11,7.45,6.41,5.16,-
"Selling, General & Admin",-,-,-,-,11.86,9.86,-34.09,10.42,13.99,13.98,5.19,7.76,4.64,3.46,2.61,2.28,1.51,-
Other Operating Expenses,0,0,0,0,2.33,2.14,-4.71,2.63,7.09,1.58,3.16,3.93,1.9,1.33,1.28,1.49,1.46,0
Operating Expenses,-,-,-,-,14.19,11.99,-38.8,13.05,21.07,15.56,8.35,11.69,6.54,4.8,3.88,3.77,2.97,-
Operating Income,-,-,-,-,-9.64,-7.07,-14.69,-11.14,-17.45,36.09,19.26,31.62,14.68,10.31,3.57,2.64,2.19,-
Interest Expense / Income,-,-,-,-,0.64,0.63,0,0,0,0,0,0,0,0,0,0,0,-
Other Expense / Income,-,-,-,-,-0.84,-1.15,-11.29,-1.17,-0.61,-0.47,-0.17,-0.21,-0.1,-0.16,-0.02,-0.02,-0.11,-
Pretax Income,-,-,-,-,-9.44,-6.55,-3.4,-9.97,-16.85,36.56,19.43,31.83,14.78,10.47,3.58,2.66,2.3,-
Income Tax,-,-,-,-,0.96,0.61,-6.25,-0.38,0.55,6.88,2.38,4.96,2.11,1.58,-0.65,1.07,0.87,-
Net Income,-,-,-,-,-10.4,-7.16,2.85,-9.59,-17.4,29.68,17.05,26.87,12.67,8.89,4.23,1.59,1.43,-
Net Income Growth,-,-,-,-,-,-,-83.30%,-,-,233.67%,303.02%,1587.14%,784.92%,-,-,-,-,-
Shares Outstanding (Basic),49,60,49,49,49,49,49,49,49,48,48,46,43,43,43,42,42,42
Shares Outstanding (Diluted),-,-,-,-,49,49,52,49,49,53,53,52,43,43,43,42,42,-
Shares Change,0.10%,22.68%,-6.38%,-0.37%,0.15%,-8.34%,-2.05%,-5.04%,13.53%,23.51%,23.61%,22.47%,2.00%,2.00%,-,-,-,-
EPS (Basic),-,-,-,-,-0.63,-0.45,0.15,-0.60,-1.08,1.86,1.08,1.74,0.90,0.63,0.30,0.12,0.09,-
EPS (Diluted),-,-,-,-,-0.63,-0.45,-0.57,-0.60,-1.08,1.68,0.93,1.56,0.90,0.63,0.30,0.12,0.09,-
EPS Growth,-,-,-,-,-,-,-,-,-,166.67%,210.00%,1200.00%,900.00%,-,-,-,-,-
Dividend Per Share,-,-,-,-,-,-,-,-,1.200,-,-,-,-,-,-,-,-,-
Gross Margin,-,-,-,-,100.00%,100.00%,-,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,-
Operating Margin,-,-,-,-,-212.25%,-143.81%,-,-582.97%,-481.96%,69.88%,69.75%,73.01%,69.17%,68.25%,47.89%,41.14%,42.40%,-
Profit Margin,-,-,-,-,-228.87%,-145.58%,-,-501.92%,-480.52%,57.46%,61.73%,62.05%,59.70%,58.85%,56.78%,24.86%,27.76%,-
Effective Tax Rate,-,-,-,-,-,-,-,-,-,18.82%,12.26%,15.58%,14.27%,15.05%,-18.07%,40.13%,37.76%,-
EBIT,-,-,-,-,-8.8,-5.92,-3.4,-9.97,-16.85,36.56,19.43,31.83,14.78,10.47,3.58,2.66,2.3,-
EBIT Margin,-,-,-,-,-193.66%,-120.42%,-,-521.56%,-465.25%,70.78%,70.35%,73.50%,69.64%,69.28%,48.09%,41.52%,44.60%,-
