Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
"Selling, General & Admin",0.26,0.12,0.11,0.17,0,0.01,0
Operating Expenses,0.26,0.12,0.11,0.17,0,0.01,0
Operating Income,-0.26,-0.12,-0.11,-0.17,-0,-0.01,-0
Other Expense / Income,-0.86,-0.99,-0.52,-0.16,-,-,-
Pretax Income,0.6,0.88,0.41,-0.01,-0,-0.01,-0
Net Income,0.6,0.88,0.41,-0.01,-0,-0.01,-0
Shares Outstanding (Basic),10,12,15,14,3,3,3
Shares Outstanding (Diluted),10,12,15,14,3,3,3
Shares Change,312.91%,366.33%,411.48%,-,-,-,-
EPS (Basic),0.13,1.54,-0.04,-0.39,-,-,-
EPS (Diluted),0.13,1.54,-0.04,-0.39,-,-,-
Free Cash Flow Per Share,-0.01,-0.00,-0.00,0.00,-0.02,-0.05,-0.04
EBITDA,0.63,0.92,0.45,0.03,-0,-0.01,-0
Depreciation & Amortization,0.04,0.04,0.04,0.04,0,0,0
EBIT,0.6,0.88,0.41,-0.01,-0,-0.01,-0
