Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.25,0.38,0.34,0.32,0.51,0.33,0.01
Operating Expenses,0.25,0.38,0.34,0.32,0.51,0.33,0.01
Operating Income,-0.25,-0.38,-0.34,-0.32,-0.51,-0.33,-0.01
Other Expense / Income,-0.32,-0.61,-0.22,-0.39,-0.01,-0.01,-0
Pretax Income,0.06,0.22,-0.12,0.08,-0.51,-0.32,-0.01
Income Tax,0.05,0.13,0,0,0,0,0
Net Income,0.01,0.09,-0.12,0.08,-0.51,-0.32,-0.01
Shares Outstanding (Basic),16,18,18,18,11,15,3
Shares Outstanding (Diluted),16,18,18,18,11,15,3
Shares Change,43.83%,23.60%,479.29%,-,-,-,-
EPS (Basic),-,0.01,-,-,-0.04,-0.02,-
EPS (Diluted),-,0.01,-,-,-0.04,-0.02,-
Free Cash Flow Per Share,-0.01,-0.01,-0.02,-0.00,-0.01,-0.04,-
Effective Tax Rate,84.19%,57.78%,-,-,-,-,-
EBITDA,0.06,0.22,-0.12,0.08,-0.51,-0.32,-0.01
EBIT,0.06,0.22,-0.12,0.08,-0.51,-0.32,-0.01
