Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
"Selling, General & Admin",0.6,0.28,0.32,0.3,0.54,0.28,0.29,0.21,0.03
Operating Expenses,0.6,0.28,0.32,0.3,0.54,0.28,0.29,0.21,0.03
Operating Income,-0.6,-0.28,-0.32,-0.3,-0.54,-0.28,-0.29,-0.21,-0.03
Other Expense / Income,-1.98,-1.68,-2.04,-4.18,-1.67,-2.06,-4.6,-2.41,-
Pretax Income,1.38,1.39,1.72,3.88,1.13,1.78,4.31,2.2,-0.03
Net Income,1.38,1.39,1.72,3.88,1.13,1.78,4.31,2.2,-0.03
Net Income Growth,21.92%,-21.60%,-60.11%,76.40%,-,-,-,-,-
Shares Outstanding (Basic),30,30,30,30,30,30,30,21,5
Shares Outstanding (Diluted),30,30,30,30,30,30,30,21,5
Shares Change,-0.08%,-,-,43.31%,475.47%,-,-,-,-
EPS (Basic),0.05,0.05,0.06,0.13,0.03,0.06,0.14,0.11,-0.01
EPS (Diluted),0.05,0.05,0.06,0.13,0.03,0.06,0.14,0.10,-0.01
EPS Growth,66.67%,-16.67%,-57.14%,30.00%,-,-,-,-,-
Free Cash Flow Per Share,-0.01,-0.01,-0.01,-0.01,-0.01,-0.00,-0.01,-0.03,-
EBITDA,1.38,1.39,1.72,3.88,1.13,1.78,4.31,2.2,-0.03
EBIT,1.38,1.39,1.72,3.88,1.13,1.78,4.31,2.2,-0.03
