Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.21,0.2,0.26,0.28,0.17,0,0.01
Operating Expenses,0.21,0.2,0.26,0.28,0.17,0,0.01
Operating Income,-0.21,-0.2,-0.26,-0.28,-0.17,-0,-0.01
Other Expense / Income,-2.83,-1.81,-0.47,-0.26,-0.15,-,-
Pretax Income,2.61,1.61,0.21,-0.03,-0.02,-0,-0.01
Net Income,2.61,1.61,0.21,-0.03,-0.02,-0,-0.01
Shares Outstanding (Basic),48,48,48,48,19,10,10
Shares Outstanding (Diluted),48,48,48,48,19,10,10
Shares Change,149.89%,364.46%,358.55%,-,-,-,-
EPS (Basic),0.05,0.03,-,-,-,-,-
EPS (Diluted),0.05,0.03,-,-,-,-,-
Free Cash Flow Per Share,-,-0.00,-0.00,-0.00,-0.04,-,-
EBITDA,2.61,1.61,0.21,-0.03,-0.02,-0,-0.01
EBIT,2.61,1.61,0.21,-0.03,-0.02,-0,-0.01
