Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
"Selling, General & Admin",0.71,0.12,0.29,0.54,0.37,0.09,0.01,0
Other Operating Expenses,0,0,0,0,0,0,0,0
Operating Expenses,0.71,0.12,0.29,0.54,0.37,0.09,0.01,0
Operating Income,-0.71,-0.12,-0.29,-0.54,-0.37,-0.09,-0.01,-0
Other Expense / Income,-1.34,-0.7,-0.21,-0.01,-0.01,-0.13,-,-
Pretax Income,0.63,0.57,-0.08,-0.53,-0.36,0.04,-0.01,-0
Income Tax,0.39,-0.27,0.27,0,0,0,0,0
Net Income,0.24,0.84,-0.35,-0.53,-0.36,0.04,-0.01,-0
Net Income Growth,-,1871.21%,-,-,-,-,-,-
Shares Outstanding (Basic),20,20,20,20,11,15,4,4
Shares Outstanding (Diluted),20,20,20,20,11,15,4,4
Shares Change,80.04%,33.17%,427.17%,427.17%,-,-,-,-
EPS (Basic),0.01,-0.04,-0.02,-0.03,-0.03,-,-,-
EPS (Diluted),0.01,-0.04,-0.02,-0.03,-0.03,-,-,-
Free Cash Flow Per Share,-0.01,-0.01,-0.00,-0.01,-0.01,-0.03,-0.00,-
Effective Tax Rate,62.11%,-46.38%,-,-,-,-,-,-
EBITDA,0.63,0.57,-0.08,-0.53,-0.36,0.04,-0.01,-0
EBIT,0.63,0.57,-0.08,-0.53,-0.36,0.04,-0.01,-0
