Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
"Selling, General & Admin",2.37,0.97,0.62,0.53,0.6,0.42,0.66,0.34,0
Other Operating Expenses,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0
Operating Expenses,2.42,1.02,0.67,0.58,0.66,0.47,0.71,0.39,0.01
Operating Income,-2.42,-1.02,-0.67,-0.58,-0.66,-0.47,-0.71,-0.39,-0.01
Other Expense / Income,-4.94,-10.29,-10.64,-13.36,-3.1,-19.65,9.97,4.79,-
Pretax Income,2.52,9.27,9.97,12.78,2.45,19.18,-10.69,-5.18,-0.01
Income Tax,1.14,0.81,0.22,0,0,0,0,0,0
Net Income,1.38,8.46,9.75,12.78,2.45,19.18,-10.69,-5.18,-0.01
Net Income Growth,-43.66%,-55.88%,-,-,-,-,-,-,-
Shares Outstanding (Basic),88,108,108,108,108,108,108,69,19
Shares Outstanding (Diluted),88,108,108,108,109,108,108,69,19
Shares Change,-19.76%,-,-,55.76%,481.97%,-,-,-,-
EPS (Basic),0.03,0.08,0.09,0.12,0.03,0.18,-0.10,-0.07,-
EPS (Diluted),0.03,0.08,0.09,0.12,0.03,0.18,-0.10,-0.07,-
EPS Growth,0%,-55.56%,-,-,-,-,-,-,-
Free Cash Flow Per Share,-0.02,-0.00,-0.00,-0.01,-0.00,-0.00,-0.00,-0.02,-
Effective Tax Rate,45.20%,8.72%,2.20%,-,-,-,-,-,-
EBITDA,2.52,9.27,9.97,12.78,2.45,19.18,-10.69,-5.18,-0.01
EBIT,2.52,9.27,9.97,12.78,2.45,19.18,-10.69,-5.18,-0.01
