Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31
Revenue,39.31,36.81,27.33,25.16,19.23,17.58,18.61,18.75,16.42,16.79,14.22,11.8,14.82,14.76,11.83,16.4,12.15,7.46,5.52,4.41,3.37,1.91,1.15,0.13,0,0,0,0,0,0
Revenue Growth (YoY),104.40%,109.37%,46.85%,34.21%,17.11%,4.71%,30.91%,58.85%,10.81%,13.76%,20.12%,-28.02%,21.98%,97.82%,114.55%,271.87%,260.48%,290.93%,379.61%,3344.46%,102411.28%,-,-,-,-,-,-,-,-,-
Cost of Revenue,8.52,7.99,6.69,6.48,3.9,5.08,4.99,5.11,3.04,4.2,3.37,2.66,3.85,3.52,2.91,3.94,3.08,2.13,1.68,1.2,1.2,1.11,0.99,0.97,0.52,0.17,0,0,0,0
Gross Profit,30.79,28.82,20.64,18.67,15.33,12.5,13.62,13.63,13.38,12.58,10.84,9.14,10.97,11.23,8.93,12.46,9.07,5.33,3.83,3.21,2.17,0.79,0.16,-0.84,-0.51,-0.17,0,0,0,0
"Selling, General & Admin",0.25,0.25,0.25,0.25,0.26,0.25,0.25,0.16,0.21,0.2,0.19,0.19,0.22,0.16,0.15,0.16,0.24,0.13,0.13,0.11,0.15,0.02,0.09,0.1,0.16,0.13,0,0,0,0
Other Operating Expenses,1.33,1.46,1.51,1.61,1.03,0.88,1.08,0.95,0.67,0.15,0.72,1.05,0.94,0.47,0.86,0.83,0.6,0.46,0.41,0.4,0.32,0.32,0.23,0.3,0.21,0.6,0,0,0,0
Operating Expenses,1.57,1.71,1.76,1.86,1.29,1.13,1.33,1.11,0.88,0.35,0.91,1.24,1.16,0.63,1.01,1,0.84,0.59,0.54,0.51,0.47,0.35,0.33,0.4,0.37,0.73,0,0,0,0
Operating Income,29.22,27.11,18.88,16.82,14.04,11.37,12.29,12.52,12.5,12.23,9.93,7.9,9.81,10.61,7.92,11.46,8.23,4.74,3.29,2.69,1.7,0.45,-0.17,-1.24,-0.88,-0.9,0,0,0,0
Interest Expense / Income,10.92,7.69,3.59,1.61,1.58,0.25,0.81,0.76,0.73,0.47,0.41,0.02,0.16,0.52,0.41,0.09,0.16,0.28,0.19,0.04,0.02,0,0,0,0,0,0,0,0,0
Other Expense / Income,6.26,0.65,3.57,16.02,9.61,-8.19,1.25,5.05,2.4,-8.98,-1.39,-5.7,7.9,1.51,2.78,2.75,2.24,-0.29,-0.49,0.46,0.28,-0.4,0,-0,-0,0,-,-,-,-
Pretax Income,12.03,18.78,11.72,-0.82,2.85,19.31,10.23,6.71,9.37,20.75,10.91,13.57,1.75,8.57,4.72,8.62,5.83,4.75,3.6,2.19,1.4,0.85,-0.17,-1.24,-0.88,-0.9,0,0,0,0
