Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31
Revenue,29.89,33.13,33.98,31.16,30.06,29.29,28.78,26.29,25.3,21.93,19.09,20.32,19.72,20.44,18.98,18.67,17.17,17.5,16.17,15.48,14.55,14.23,13.85,12.73,11.72
Revenue Growth (YoY),-0.59%,13.11%,18.06%,18.50%,18.81%,33.58%,50.81%,29.39%,28.30%,7.27%,0.55%,8.82%,14.89%,16.81%,17.36%,20.59%,17.97%,22.96%,16.79%,21.61%,24.14%,-,-,-,-
Gross Profit,29.89,33.13,33.98,31.16,30.06,29.29,28.78,26.29,25.3,21.93,19.09,20.32,19.72,20.44,18.98,18.67,17.17,17.5,16.17,15.48,14.55,14.23,13.85,12.73,11.72
"Selling, General & Admin",10.02,11,10.54,10.02,9.78,8.91,9.25,8.49,8.16,7.2,7.44,7.02,7.17,7.12,6.68,5.91,5.46,5.67,5.51,4.9,4.89,4.67,4.26,3.6,3.72
Other Operating Expenses,4.16,4.21,3.62,3.73,3.73,3.55,3.99,2.99,2.77,8.06,2.23,3.69,2.58,3.37,2.41,3.57,2.43,5.37,2.02,1.56,1.64,4.19,1.85,1.67,1.54
Operating Expenses,14.18,15.2,14.16,13.75,13.51,12.46,13.24,11.48,10.92,15.26,9.67,10.71,9.75,10.49,9.08,9.47,7.89,11.04,7.53,6.46,6.53,8.86,6.11,5.27,5.25
Operating Income,15.7,17.93,19.83,17.4,16.55,16.83,15.55,14.81,14.38,6.67,9.41,9.61,9.98,9.95,9.9,9.2,9.28,6.46,8.65,9.02,8.02,5.37,7.74,7.46,6.47
Pretax Income,15.7,17.93,19.83,17.4,16.55,16.83,15.55,14.81,14.38,6.67,9.41,9.61,9.98,9.95,9.9,9.2,9.28,6.46,8.65,9.02,8.02,5.37,7.74,7.46,6.47
Income Tax,4.06,4.19,5.31,4.52,4.29,4.32,4.04,3.82,3.71,1.69,2.24,2.01,2.53,1.38,2.09,1.19,2.26,-1.3,2.18,2.27,2.07,2.04,3.06,2.67,2.38
Net Income,11.64,13.74,14.51,12.88,12.26,12.51,11.51,10.99,10.67,4.98,7.17,7.6,7.44,8.57,7.81,8.01,7.02,7.76,6.46,6.75,5.95,3.33,4.68,4.8,4.08
Preferred Dividends,1.01,1.01,1.01,1.01,1.01,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net Income Common,10.63,12.72,13.5,11.87,11.25,11.34,11.51,10.99,10.67,4.98,7.17,7.6,7.44,8.57,7.81,8.01,7.02,7.76,6.46,6.75,5.95,3.33,4.68,4.8,4.08
Net Income Growth,-5.51%,12.15%,17.30%,7.96%,5.42%,127.82%,60.43%,44.68%,43.37%,-41.91%,-8.08%,-5.13%,6.06%,10.44%,20.76%,18.72%,17.95%,132.78%,38.25%,40.63%,45.73%,-,-,-,-
Shares Outstanding (Basic),28,28,28,28,28,28,28,28,28,28,29,29,29,29,29,30,30,30,27,27,29,29,-,-,-
Shares Change,-1.60%,-1.70%,-2.15%,-0.60%,0.29%,-0.76%,-2.28%,-2.33%,-2.92%,-1.74%,0.07%,-4.18%,-3.73%,-4.27%,5.82%,10.41%,3.59%,3.48%,-,-,-,-,-,-,-
EPS (Basic),0.38,0.46,0.49,0.43,0.40,0.41,0.41,0.39,0.38,0.18,0.25,0.26,0.26,0.30,0.27,0.27,0.23,0.26,0.22,0.22,0.23,0.14,0.19,0.20,0.17
EPS (Diluted),0.37,0.45,0.47,0.41,0.39,0.40,0.40,0.38,0.37,0.17,0.25,0.26,0.25,0.29,0.27,0.26,0.23,0.25,0.21,0.22,0.23,0.13,0.19,0.19,0.16
EPS Growth,-5.13%,12.50%,17.50%,7.89%,5.41%,135.29%,60.00%,46.15%,48.00%,-41.38%,-7.41%,0%,8.70%,16.00%,28.57%,18.18%,0%,92.31%,10.53%,15.79%,43.75%,-,-,-,-
Free Cash Flow Per Share,0.28,0.16,0.32,1.40,1.10,0.36,0.56,0.26,0.73,0.09,0.39,-0.18,-0.34,0.19,0.15,0.25,0.23,0.18,0.32,0.27,0.15,0.20,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,52.54%,54.11%,58.34%,55.86%,55.07%,57.46%,54.01%,56.35%,56.83%,30.41%,49.32%,47.29%,50.58%,48.68%,52.14%,49.26%,54.06%,36.91%,53.47%,58.25%,55.11%,37.73%,55.89%,58.60%,55.17%
Profit Margin,35.57%,38.40%,39.73%,38.09%,37.42%,38.73%,39.99%,41.81%,42.17%,22.71%,37.59%,37.39%,37.74%,41.93%,41.12%,42.89%,40.89%,44.35%,39.96%,43.57%,40.89%,23.43%,33.76%,37.67%,34.83%
Free Cash Flow Margin,26.07%,13.44%,26.03%,125.38%,103.13%,34.68%,54.57%,27.29%,80.70%,11.16%,58.35%,-25.90%,-50.66%,26.43%,22.35%,40.08%,39.77%,30.27%,53.86%,47.70%,29.51%,40.46%,46.39%,29.33%,66.12%
Effective Tax Rate,25.86%,23.39%,26.79%,25.98%,25.93%,25.65%,25.97%,25.79%,25.79%,25.34%,23.79%,20.92%,25.38%,13.87%,21.14%,12.93%,24.38%,-20.16%,25.26%,25.21%,25.79%,37.91%,39.59%,35.71%,36.86%
EBITDA,16.48,19.08,20.48,18.04,17.18,17.45,16.16,15.41,14.93,7.22,9.69,9.8,10.16,10.3,10.14,9.41,9.49,6.66,8.84,9.2,8.2,5.54,7.93,7.62,6.64
EBITDA Margin,55.14%,57.59%,60.26%,57.89%,57.16%,59.56%,56.13%,58.60%,59.02%,32.90%,50.79%,48.24%,51.53%,50.38%,53.43%,50.37%,55.29%,38.06%,54.65%,59.44%,56.37%,38.94%,57.23%,59.87%,56.67%
Depreciation & Amortization,0.78,1.15,0.65,0.63,0.63,0.61,0.61,0.59,0.55,0.55,0.28,0.19,0.19,0.35,0.25,0.21,0.21,0.2,0.19,0.18,0.18,0.17,0.19,0.16,0.18
EBIT,15.7,17.93,19.83,17.4,16.55,16.83,15.55,14.81,14.38,6.67,9.41,9.61,9.98,9.95,9.9,9.2,9.28,6.46,8.65,9.02,8.02,5.37,7.74,7.46,6.47
EBIT Margin,52.54%,54.11%,58.34%,55.86%,55.07%,57.46%,54.01%,56.35%,56.83%,30.41%,49.32%,47.29%,50.58%,48.68%,52.14%,49.26%,54.06%,36.91%,53.47%,58.25%,55.11%,37.73%,55.89%,58.60%,55.17%
