Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30
"Selling, General & Admin",0.16,0.06,0.11,0.23,0.07,0.03,0.01,0.03,0.02,0
Operating Expenses,0.16,0.06,0.11,0.23,0.07,0.03,0.01,0.03,0.02,0
Operating Income,-0.16,-0.06,-0.11,-0.23,-0.07,-0.03,-0.01,-0.03,-0.02,0
Other Expense / Income,-0.2,-0.26,-0.04,-0,-0,-,-0,-0,-,-
Pretax Income,0.04,0.2,-0.07,-0.22,-0.07,-0.03,-0.01,-0.03,-0.02,0
Net Income,0.04,0.2,-0.07,-0.22,-0.07,-0.03,-0.01,-0.03,-0.02,0
Shares Outstanding (Basic),7,7,7,7,3,2,1,1,0,0
Shares Outstanding (Diluted),7,7,7,7,3,2,1,1,0,0
Shares Change,122.80%,269.03%,420.14%,446.26%,721.15%,19526.74%,-,-,-,-
EPS (Basic),1.72,-0.42,-0.42,-0.41,1.05,-0.12,-0.01,-0.02,-0.05,-
EPS (Diluted),1.72,-0.42,-0.42,-0.41,1.05,-0.12,-0.01,-0.02,-0.05,-
EPS Growth,63.81%,-,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,-0.02,-0.01,-0.01,-0.03,-0.03,-0.01,-0.00,-0.02,-0.05,-
EBITDA,0.04,0.2,-0.07,-0.22,-0.07,-0.03,-0.01,-0.03,-0.02,0
EBIT,0.04,0.2,-0.07,-0.22,-0.07,-0.03,-0.01,-0.03,-0.02,0
