Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.32,0.29,0.26,0.31,-,0,0
Operating Expenses,0.32,0.29,0.26,0.31,-,0,0
Operating Income,-0.32,-0.29,-0.26,-0.31,-,-0,-0
Other Expense / Income,-1.89,-0.95,-0.28,-0.05,-,-,-
Pretax Income,1.57,0.66,0.02,-0.26,-,-0,-0
Net Income,1.57,0.66,0.02,-0.26,-,-0,-0
Shares Outstanding (Basic),29,29,29,29,7,5,6
Shares Outstanding (Diluted),29,29,29,29,-,5,6
Shares Change,326.28%,486.20%,409.74%,-,-,-,-
EPS (Basic),0.06,0.02,-,-0.01,-,-,-
EPS (Diluted),0.06,0.02,-,-0.01,-,-,-
Free Cash Flow Per Share,-0.01,-0.01,-0.00,-0.01,-0.11,-,-
EBITDA,1.57,0.66,0.02,-0.26,-,-,-0
EBIT,1.57,0.66,0.02,-0.26,-,-0,-0
