Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2018-12-31
Revenue,102.31,111.59,102.66,99.77,94.08,115.19,123.63,119.78,106.86,104.61,73.54,86.84,74.89,104.09,-
Revenue Growth (YoY),8.75%,-3.12%,-16.96%,-16.71%,-11.96%,10.11%,68.10%,37.93%,42.68%,0.50%,-,-,-,-,-
Gross Profit,102.31,111.59,102.66,99.77,94.08,115.19,123.63,119.78,106.86,104.61,73.54,86.84,74.89,104.09,-
"Selling, General & Admin",54.13,61.73,59.77,53.89,53.96,59.86,57.72,55.42,50,39.87,28.75,29.52,26.1,34.12,-
Operating Expenses,54.13,61.73,59.77,53.89,53.96,59.86,57.72,55.42,50,39.87,28.75,29.52,26.1,34.12,-
Operating Income,48.18,49.86,42.89,45.88,40.11,55.34,65.91,64.36,56.86,64.74,44.8,57.32,48.79,69.97,-
Interest Expense / Income,6.84,-13.29,7.32,2.46,6.06,-11.19,10.12,10.52,3.68,3.48,3.32,3.12,3.17,3.22,-
Other Expense / Income,-4.28,-13.26,-44.69,-14.69,-23,0.02,-7.22,-14.24,-7.07,-7.71,-0.38,-1.1,-1.91,-1.96,-
Pretax Income,45.62,76.4,80.27,58.11,57.05,66.51,63.01,68.08,60.25,68.97,41.86,55.29,47.53,68.72,-
Income Tax,12.88,17.89,11.07,11.71,11.74,9.92,11.4,14.67,13.23,13.09,9.65,11.07,9.63,11.28,-
Net Income,32.74,58.51,69.2,46.4,45.31,56.59,51.61,53.41,47.01,55.88,32.2,44.22,37.9,57.44,-
Net Income Growth,-27.75%,3.39%,34.08%,-13.12%,-3.62%,1.27%,60.26%,20.77%,24.05%,-2.71%,-,-,-,-,-
Shares Outstanding (Basic),55,57,57,57,56,57,57,57,57,56,56,56,56,56,-
Shares Change,-1.91%,-,-,-0.04%,-1.33%,2.48%,2.48%,2.52%,2.52%,-,-,-,-,-,-
EPS (Basic),0.58,1.04,1.22,0.82,0.80,1.01,0.91,0.94,0.91,6.41,3.69,1.06,0.92,6.61,-
EPS (Diluted),0.57,1.03,1.20,0.81,0.80,1.01,0.91,0.94,0.91,6.41,3.69,1.06,0.92,6.61,-
EPS Growth,-28.75%,1.98%,31.87%,-13.83%,-12.09%,-84.24%,-75.34%,-11.32%,-1.09%,-3.03%,-,-,-,-,-
Free Cash Flow Per Share,0.01,0.93,1.55,0.81,-0.40,1.53,2.26,0.80,1.42,0.69,1.28,0.63,1.43,0.58,-
Dividend Per Share,-,0.200,0.170,0.170,0.200,0.160,0.300,-,-,-,-,-,-,-,-
Dividend Growth,-,25.00%,-43.33%,-,-,-,-,-,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,-
Operating Margin,47.09%,44.68%,41.78%,45.99%,42.64%,48.04%,53.31%,53.73%,53.21%,61.89%,60.91%,66.00%,65.15%,67.22%,-
Profit Margin,32.00%,52.43%,67.40%,46.51%,48.16%,49.13%,41.74%,44.59%,43.99%,53.41%,43.79%,50.92%,50.60%,55.18%,-
Free Cash Flow Margin,0.55%,47.62%,85.85%,45.99%,-23.65%,75.71%,104.19%,38.20%,75.84%,36.80%,96.59%,40.13%,105.71%,31.20%,-
Effective Tax Rate,28.24%,23.42%,13.79%,20.15%,20.58%,14.92%,18.09%,21.55%,21.96%,18.98%,23.06%,20.02%,20.26%,16.42%,-
EBITDA,57.02,67.67,91.56,64.29,66.65,58.97,76.56,81.93,67.24,75.82,48.45,61.68,54.02,76.14,-
EBITDA Margin,55.73%,60.64%,89.19%,64.43%,70.85%,51.19%,61.93%,68.40%,62.92%,72.47%,65.88%,71.02%,72.13%,73.15%,-
Depreciation & Amortization,4.56,4.55,3.97,3.71,3.54,3.65,3.44,3.33,3.31,3.37,3.28,3.26,3.32,4.21,-
EBIT,52.46,63.11,87.59,60.57,63.11,55.32,73.13,78.6,63.93,72.45,45.18,58.41,50.7,71.93,-
EBIT Margin,51.28%,56.56%,85.32%,60.71%,67.08%,48.02%,59.15%,65.62%,59.82%,69.25%,61.43%,67.26%,67.70%,69.11%,-
