Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31
"Selling, General & Admin",1.87,-0.07,0.15,0.01
Operating Expenses,1.87,-0.07,0.15,0.01
Operating Income,-1.87,0.07,-0.15,-0.01
Other Expense / Income,-1.72,0.38,-0.11,-
Pretax Income,-0.15,-0.31,-0.03,-0.01
Net Income,-0.15,-0.31,-0.03,-0.01
Shares Outstanding (Basic),8,11,10,1
Shares Outstanding (Diluted),8,11,10,1
EPS (Basic),-0.21,0.04,0.55,-0.01
EPS (Diluted),-0.21,0.04,0.55,-0.01
Free Cash Flow Per Share,-,-0.00,-0.02,-
EBITDA,-,-0.31,-0.03,-0.01
EBIT,-0.15,-0.31,-0.03,-0.01
