Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Revenue,"2,921","3,124","2,905","2,318","2,251","2,488","2,340","2,452","2,369",-
Revenue Growth (YoY),29.76%,25.56%,24.15%,-5.46%,-4.98%,-,-,-,-,-
Cost of Revenue,"2,551","2,727","2,604","2,110","2,025","2,195","2,162","2,269","2,175",-
Gross Profit,370,397,301,208,226,293,178,183,194,-
"Selling, General & Admin",107,103,129,72,68,66,74,80,62,-
Other Operating Expenses,0,21,0,0,0,0,0,0,0,0
Operating Expenses,107,124,129,72,68,66,74,80,62,-
Operating Income,263,273,172,136,158,227,104,103,132,-
Interest Expense / Income,279,254,248,133,107,96,106,100,99,-
Other Expense / Income,212,-160,-147,-413,209,126,-5,7,13,-
Pretax Income,-228,179,71,416,-158,5,3,-4,20,-
Income Tax,2,-15,-21,-373,4,-31,2,8,9,-
Net Income,-230,194,92,789,-162,36,1,-12,11,-
Net Income Growth,-,438.89%,9100.00%,-,-,-,-,-,-,-
Shares Outstanding (Basic),99,99,99,99,99,78,-,-,-,-
Shares Change,-0.05%,26.85%,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,-3.07,-0.96,-2.87,0.39,-1.02,0.49,-,-,-,-
Gross Margin,12.67%,12.71%,10.36%,8.97%,10.04%,11.78%,7.61%,7.46%,8.19%,-
Operating Margin,9.00%,8.74%,5.92%,5.87%,7.02%,9.12%,4.44%,4.20%,5.57%,-
Profit Margin,-7.87%,6.21%,3.17%,34.04%,-7.20%,1.45%,0.04%,-0.49%,0.46%,-
Free Cash Flow Margin,-10.41%,-3.04%,-9.78%,1.68%,-4.49%,1.53%,-2.39%,0.49%,-4.01%,-
Effective Tax Rate,-,-8.38%,-29.58%,-89.66%,-,-620.00%,66.67%,-,45.00%,-
EBITDA,333,714,625,705,98,253,258,248,269,-
EBITDA Margin,11.40%,22.86%,21.51%,30.41%,4.35%,10.17%,11.03%,10.11%,11.36%,-
Depreciation & Amortization,282,281,306,156,149,152,149,152,150,-
EBIT,51,433,319,549,-51,101,109,96,119,-
EBIT Margin,1.75%,13.86%,10.98%,23.68%,-2.27%,4.06%,4.66%,3.92%,5.02%,-
