Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31
"Selling, General & Admin",0.59,0.86,0.23,0.18,0.16,0.28,0.13,0,0,0,0,0,0,-
Operating Expenses,0.59,0.86,0.23,0.18,0.16,0.28,0.13,0,0,0,0,0,0,-
Operating Income,-0.59,-0.86,-0.23,-0.18,-0.16,-0.28,-0.13,-0,-0,-0,-0,0,-0,-
Other Expense / Income,-0.25,-0.94,-0.53,-0.15,-0.03,-0.01,-0,-,-,-,-,-,-,-
Pretax Income,-0.35,0.07,0.3,-0.03,-0.12,-0.27,-0.13,-0,-0,-0,-0,0,-0,-
Income Tax,0.06,0.3,0.09,0,0,0,0,0,0,0,0,0,0,-
Net Income,-0.41,-0.23,0.21,-0.04,-0.12,-0.27,-0.13,-0,-0,-0,-0,0,-0,-
Shares Outstanding (Basic),6,15,15,15,15,7,9,3,3,3,3,3,3,3
Shares Outstanding (Diluted),6,15,15,15,15,7,9,3,3,3,3,3,3,-
Shares Change,-61.48%,98.23%,58.87%,416.05%,416.05%,155.07%,224.82%,15.00%,15.00%,15.00%,-,-,-,-
EPS (Basic),-0.07,-0.01,0.01,-,-0.01,-0.02,-0.01,-,-,-,-,-,-,-
EPS (Diluted),-0.07,-0.01,0.01,-,-0.01,-0.02,-0.01,-,-,-,-,-,-,-
Free Cash Flow Per Share,-0.11,-0.02,-0.01,-0.01,-0.02,-0.01,-0.04,-,-,-,-,-,-,-
Effective Tax Rate,-,415.82%,29.85%,-,-,-,-,-,-,-,-,-,-,-
EBITDA,-0.35,0.07,0.3,-0.03,-0.12,-0.27,-0.13,-0,-0,-0,-0,0,-0,-
EBIT,-0.35,0.07,0.3,-0.03,-0.12,-0.27,-0.13,-0,-0,-0,-0,0,-0,-
