Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
"Selling, General & Admin",0.5,0.25,0.33,0.48,1.54,0.16,0.29,0.03,0.01
Operating Expenses,0.5,0.25,0.33,0.48,1.54,0.16,0.29,0.03,0.01
Operating Income,-0.5,-0.25,-0.33,-0.48,-1.54,-0.16,-0.29,-0.03,-0.01
Other Expense / Income,-2.85,-1.4,-3.02,-7.87,2.12,-4.39,-4.92,0.35,-
Pretax Income,2.35,1.14,2.69,7.39,-3.65,4.23,4.63,-0.38,-0.01
Net Income,2.35,1.14,2.69,7.39,-3.65,4.23,4.63,-0.38,-0.01
Net Income Growth,-,-72.97%,-41.93%,-,-,-,-,-,-
Shares Outstanding (Basic),34,34,34,34,28,34,34,32,6
Shares Outstanding (Diluted),34,34,34,34,28,34,34,32,6
Shares Change,23.30%,-,2.44%,6.80%,346.05%,-,-,-,-
EPS (Basic),0.06,0.03,0.08,0.21,-0.16,0.12,0.14,-0.01,-
EPS (Diluted),0.06,0.03,0.08,0.21,-0.16,0.12,0.14,-0.01,-
EPS Growth,-,-75.00%,-42.86%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.01,-0.00,-0.01,-0.01,-0.01,-0.00,-0.03,-0.00,-
EBITDA,2.35,1.14,2.69,7.39,-3.65,4.23,4.63,-0.38,-0.01
EBIT,2.35,1.14,2.69,7.39,-3.65,4.23,4.63,-0.38,-0.01
