Metrics,2022-12-31,2022-06-30,2021-12-31,2021-06-30,2020-12-31,2020-06-30,2019-12-31,2019-09-30,2019-06-30,2018-12-31,2018-09-30
Revenue,-,-,-,-,-,-,5.83,0,0,1.43,0
Cost of Revenue,-,-,-,-,-,-,1.29,0,0,1.7,0
Gross Profit,-,-,-,-,-,-,4.54,0,0,-0.27,0
"Selling, General & Admin",-,-,-,-,-,-,0.34,0.2,0.31,0.27,0.11
Other Operating Expenses,0,0,0,0,0,0,0.77,0,0,0.28,0
Operating Expenses,-,-,-,-,-,-,1.12,0.2,0.31,0.54,0.11
Operating Income,-,-,-,-,-,-,3.43,-0.2,-0.31,-0.81,-0.11
Interest Expense / Income,-,-,-,-,-,-,0.5,0,0,0,0
Other Expense / Income,-,-,-,-,-,-,-,-0.67,-0.26,-,-
Pretax Income,-,-,-,-,-,-,2.93,0.46,-0.06,-0.81,-0.11
Income Tax,-,-,-,-,-,-,0.02,0.02,0,0.01,0
Net Income,-,-,-,-,-,-,2.91,0.44,-0.06,-0.83,-0.11
Shares Outstanding (Basic),46,40,30,27,10,7,7,3,3,7,3
Shares Outstanding (Diluted),-,-,-,-,-,-,7,3,3,7,-
Shares Change,353.26%,441.20%,324.35%,667.36%,195.41%,5.24%,183.62%,-,-,-,-
EPS (Basic),-,-,-,-,-,-,-105.04,-0.02,-0.08,38.51,-0.05
EPS (Diluted),-,-,-,-,-,-,-105.04,-0.02,-0.08,38.51,-
Free Cash Flow Per Share,-,-,-,-,-,-,0.57,0.11,-,0.01,-0.03
Gross Margin,-,-,-,-,-,-,77.88%,-,-,-18.89%,-
Operating Margin,-,-,-,-,-,-,58.76%,-,-,-56.97%,-
Profit Margin,-,-,-,-,-,-,49.82%,-,-,-57.77%,-
Free Cash Flow Margin,-,-,-,-,-,-,69.21%,-,-,3.31%,-
Effective Tax Rate,-,-,-,-,-,-,0.70%,4.17%,-,-,-
EBITDA,-,-,-,-,-,-,3.44,0.46,-,-0.8,-0.11
EBITDA Margin,-,-,-,-,-,-,59.04%,-,-,-56.09%,-
Depreciation & Amortization,-,-,-,-,-,-,0.02,0,-,0.01,0
EBIT,-,-,-,-,-,-,3.43,0.46,-0.06,-0.81,-0.11
EBIT Margin,-,-,-,-,-,-,58.76%,-,-,-56.97%,-
