Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2021-01-29
"Selling, General & Admin",1.7,1.33,0.68,0.37,0.53,0.35,0.12,0,0
Operating Expenses,1.7,1.33,0.68,0.37,0.53,0.35,0.12,0,0
Operating Income,-1.7,-1.33,-0.68,-0.37,-0.53,-0.35,-0.12,-0,-0
Other Expense / Income,-1.1,-1.26,-1.32,-4.66,0.11,-3.79,0.54,-,-
Pretax Income,-0.6,-0.07,0.64,4.29,-0.64,3.45,-0.66,-0,-0
Income Tax,0.39,0.2,0.01,0,0,0,0,0,0
Net Income,-0.99,-0.27,0.64,4.29,-0.64,3.45,-0.66,-0,-0
Shares Outstanding (Basic),28,28,28,28,20,28,14,6,6
Shares Outstanding (Diluted),28,28,28,28,20,28,14,6,6
Shares Change,39.53%,-,104.04%,400.00%,222.50%,-,-,-,-
EPS (Basic),-0.04,-0.01,0.02,0.15,-0.05,0.12,-0.05,-,-
EPS (Diluted),-0.04,-0.01,0.02,0.15,-0.05,0.12,-0.05,-,-
Free Cash Flow Per Share,-0.03,-0.00,-0.01,-0.01,-0.01,-0.02,-0.03,-,-
Effective Tax Rate,-,-,1.35%,-,-,-,-,-,-
EBITDA,-0.6,-0.07,0.64,4.29,-0.64,3.45,-0.66,-0,-0
EBIT,-0.6,-0.07,0.64,4.29,-0.64,3.45,-0.66,-0,-0
