Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.57,0.21,0.21,0.21,1.09,0,0.01
Operating Expenses,0.57,0.21,0.21,0.21,1.09,0,0.01
Operating Income,-0.57,-0.21,-0.21,-0.21,-1.09,-0,-0.01
Other Expense / Income,-1.95,-2.87,-2.45,-3.23,0.37,-,-0
Pretax Income,1.38,2.65,2.24,3.02,-1.46,-0,-0.01
Net Income,1.38,2.65,2.24,3.02,-1.46,-0,-0.01
Shares Outstanding (Basic),27,27,27,27,9,5,5
Shares Outstanding (Diluted),27,27,27,27,9,5,5
Shares Change,207.65%,431.01%,431.01%,-,-,-,-
EPS (Basic),0.05,0.10,0.08,0.11,-0.17,-,-
EPS (Diluted),0.05,0.10,0.08,0.11,-0.17,-,-
Free Cash Flow Per Share,-0.02,-0.00,-0.00,-0.01,-0.04,-0.02,-0.02
EBITDA,1.38,2.65,2.24,3.02,-1.46,-0,-0.01
EBIT,1.38,2.65,2.24,3.02,-1.46,-0,-0.01
