Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.21,0.25,0.2,0,0,0,0.01
Operating Expenses,0.21,0.25,0.2,0,0,0,0.01
Operating Income,-0.21,-0.25,-0.2,0,-0,0,-0.01
Other Expense / Income,-0.98,-0.54,-0.12,-,-,-,-
Pretax Income,0.77,0.29,-0.08,0,-0,0,-0.01
Net Income,0.77,0.29,-0.08,0,-0,0,-0.01
Shares Outstanding (Basic),10,14,10,3,3,3,3
Shares Outstanding (Diluted),10,14,10,3,3,3,3
Shares Change,317.53%,475.00%,313.19%,-,-,-,-
EPS (Basic),0.07,0.02,-0.01,-,-,-,-
EPS (Diluted),0.07,0.02,-0.01,-,-,-,-
Free Cash Flow Per Share,-0.00,-0.00,-0.04,-,-,-,-
EBITDA,0.77,0.29,-0.08,0,-0,0,-0.01
EBIT,0.77,0.29,-0.08,0,-0,0,-0.01
