Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
"Selling, General & Admin",2.54,1.7,0.11,0.09,1.02,0.18,2.92,0.29,0
Other Operating Expenses,0.05,0.05,0.05,0.09,0,0.06,0.05,0.1,0
Operating Expenses,2.59,1.75,0.16,0.18,1.02,0.24,2.97,0.39,0
Operating Income,-2.59,-1.75,-0.16,-0.18,-1.02,-0.24,-2.97,-0.39,-0
Other Expense / Income,-4.16,-2.41,-2.97,-6.63,-3.14,-4.94,-3.01,-11.46,-
Pretax Income,1.58,0.66,2.81,6.45,2.12,4.7,0.03,11.07,-0
Income Tax,0.63,0.37,0.06,0,0,0,0,0,0
Net Income,0.95,0.29,2.75,6.45,2.12,4.7,0.03,11.07,-0
Net Income Growth,-55.39%,-93.80%,8412.96%,-41.75%,-,-,-,-,-
Shares Outstanding (Basic),49,50,50,50,50,50,50,36,8
Shares Outstanding (Diluted),49,50,50,50,50,50,50,36,8
Shares Change,-0.64%,-,-,38.04%,561.50%,-,-,-,-
EPS (Basic),0.02,0.01,0.06,0.13,0.04,0.09,-,0.31,-
EPS (Diluted),0.02,0.01,0.06,0.13,0.04,0.09,-,0.31,-
EPS Growth,-50.00%,-88.89%,-,-58.06%,-,-,-,-,-
Free Cash Flow Per Share,-0.01,-0.00,-0.01,-0.03,-0.01,-0.01,-0.01,-0.03,-
Effective Tax Rate,39.92%,55.92%,2.05%,-,-,-,-,-,-
EBITDA,1.58,0.66,2.81,6.45,2.12,4.7,0.03,11.07,-0
EBIT,1.58,0.66,2.81,6.45,2.12,4.7,0.03,11.07,-0
