Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2018-06-30
Revenue,299.4,319.19,162.48,136.42,274.34,194.24,156.08,184.3,265.35,357.57,124.17,139.27,148.6,176.3,65.17,74.4,-
Revenue Growth (YoY),9.13%,64.33%,4.10%,-25.98%,3.39%,-45.68%,25.70%,32.33%,78.56%,102.82%,90.54%,87.19%,-,-,-,-,-
Cost of Revenue,141.49,141.57,107.52,107.08,115.79,146.36,91.66,64.11,71.44,84.12,51.05,40.91,43.37,50.48,32.64,24.13,-
Gross Profit,157.91,177.62,54.97,29.35,158.55,47.88,64.42,120.19,193.91,273.44,73.12,98.36,105.24,125.81,32.53,50.27,-
"Selling, General & Admin",117.75,118.34,88.3,100.35,149.79,215.14,114.57,105.21,135.94,145.25,62,61.42,61.93,64.87,31.23,30.91,-
Research & Development,6.43,6.25,6.18,6.05,6.44,6.39,5.85,5.17,4.86,4.75,3.85,3.26,2.87,3.51,2.71,2.09,-
Other Operating Expenses,0,0,0,44.6,0,0,0,0,0,0,0,0,0,0,0,0,0
Operating Expenses,124.18,124.58,94.48,151,156.22,221.53,120.43,110.38,140.8,150,65.85,64.67,64.8,68.38,33.94,33.01,-
Operating Income,33.73,53.03,-39.52,-121.65,2.33,-173.65,-56.01,9.81,53.11,123.45,7.27,33.69,40.44,57.44,-1.41,17.27,-
Interest Expense / Income,21.11,21.04,16.74,12.3,12.18,10.59,8.54,8.42,7.36,6.78,6.76,8.36,9.36,6.18,0.71,0.54,-
Other Expense / Income,0.21,0.07,-0.16,0.03,0.02,0.05,0.1,0.04,3.66,0.42,0.78,1.55,0,0,0.01,0.01,-
Pretax Income,12.42,31.92,-56.09,-133.97,-9.87,-184.29,-64.65,1.34,42.09,116.25,-0.27,23.78,31.08,51.25,-2.13,16.72,-
Income Tax,3.15,9.41,-13.61,-27.07,-2.85,-46.73,-16.41,1.31,6.85,26.39,-1.1,5.39,7.37,12.18,-0.44,3.83,-
Net Income,9.26,22.51,-42.48,-106.9,-7.03,-137.56,-48.23,0.03,35.24,89.86,0.84,18.39,23.72,39.07,-1.69,12.89,-
Net Income Growth,-,-,-,-,-,-,-,-99.82%,48.57%,129.99%,-,42.67%,-,-,-,-,-
Shares Outstanding (Basic),167,166,165,164,164,164,164,163,163,163,162,97,92,90,88,87,81
Shares Outstanding (Diluted),168,167,165,164,164,164,164,166,166,166,165,97,139,90,88,131,-
Shares Change,2.33%,1.57%,0.69%,-0.76%,-0.99%,-0.96%,-0.91%,69.95%,19.44%,83.20%,88.76%,-25.60%,70.64%,-,-,-,-
EPS (Basic),0.06,0.14,-0.26,-0.65,-0.04,-0.84,-0.29,-,0.21,0.55,0.01,0.20,0.23,-0.56,-0.05,0.11,-
EPS (Diluted),0.06,0.14,-0.26,-0.65,-0.04,-0.84,-0.29,-,0.21,0.54,0.01,0.20,0.17,-0.56,-0.05,0.10,-
EPS Growth,-,-,-,-,-,-,-,-,23.53%,-,-,100.00%,-,-,-,-,-
Free Cash Flow Per Share,0.36,-0.18,-0.30,-0.34,0.08,-1.41,-0.60,-0.40,0.24,-0.61,-0.08,-0.25,0.06,-0.47,-0.18,-0.06,-
Gross Margin,52.74%,55.65%,33.83%,21.51%,57.79%,24.65%,41.27%,65.21%,73.08%,76.47%,58.89%,70.62%,70.82%,71.36%,49.92%,67.57%,-
Operating Margin,11.26%,16.61%,-24.32%,-89.17%,0.85%,-89.40%,-35.88%,5.32%,20.01%,34.52%,5.86%,24.19%,27.21%,32.58%,-2.16%,23.21%,-
Profit Margin,3.09%,7.05%,-26.15%,-78.35%,-2.56%,-70.82%,-30.90%,0.02%,13.28%,25.13%,0.67%,13.20%,15.96%,22.16%,-2.59%,17.32%,-
Free Cash Flow Margin,20.16%,-9.55%,-30.50%,-41.43%,4.53%,-118.91%,-62.73%,-35.35%,14.73%,-27.60%,-11.02%,-17.71%,3.95%,-24.14%,-24.52%,-7.24%,-
Effective Tax Rate,25.39%,29.47%,-,-,-,-,-,97.54%,16.28%,22.70%,-,22.68%,23.70%,23.77%,-,22.93%,-
EBITDA,41.65,61.13,-31.45,-113.9,10.01,-166.48,-50.01,15.6,54.75,127.6,10.75,34.85,42.54,59.16,0.02,18.52,-
EBITDA Margin,13.91%,19.15%,-19.36%,-83.49%,3.65%,-85.71%,-32.04%,8.47%,20.63%,35.68%,8.66%,25.03%,28.63%,33.56%,0.03%,24.89%,-
Depreciation & Amortization,8.13,8.17,7.91,7.77,7.7,7.22,6.1,5.84,5.31,4.57,4.26,2.72,2.11,1.73,1.44,1.26,-
EBIT,33.52,52.96,-39.36,-121.67,2.31,-173.7,-56.11,9.77,49.44,123.03,6.49,32.13,40.44,57.43,-1.42,17.26,-
EBIT Margin,11.20%,16.59%,-24.22%,-89.19%,0.84%,-89.43%,-35.95%,5.30%,18.63%,34.41%,5.23%,23.07%,27.21%,32.58%,-2.18%,23.20%,-
