Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30
Revenue,22.92,25.77,27.72,27.35,28.52,33.63,37.78,37.05,41.57,43.8,37.82,28.66,17.33,19.94,17.78,16.84,14.71,15.59,17.25,16.4,14.19,16.3,17.13
Revenue Growth (YoY),-19.66%,-23.37%,-26.62%,-26.17%,-31.39%,-23.22%,-0.10%,29.28%,139.83%,119.69%,112.73%,70.21%,17.87%,27.92%,3.04%,2.65%,3.60%,-4.35%,0.75%,-,-,-,-
Gross Profit,22.92,25.77,27.72,27.35,28.52,33.63,37.78,37.05,41.57,43.8,37.82,28.66,17.33,19.94,17.78,16.84,14.71,15.59,17.25,16.4,14.19,16.3,17.13
"Selling, General & Admin",13.17,13.37,16.29,15.87,17.54,17.38,22.22,22.83,24.69,28.26,22.8,18.39,11.76,11.37,11.18,10.73,9.48,9.87,10.75,11.31,10.27,11.36,12.26
Other Operating Expenses,4.62,6.67,3.97,3.84,3.9,6.36,3.26,3.42,3.57,3.66,3.04,2.87,2.3,4.46,2.37,3.51,2.64,2.68,3.01,2.77,2.3,3.28,2.76
Operating Expenses,17.79,20.04,20.26,19.71,21.43,23.74,25.48,26.25,28.26,31.92,25.83,21.25,14.06,15.83,13.55,14.24,12.12,12.56,13.75,14.07,12.56,14.63,15.01
Operating Income,5.13,5.73,7.46,7.65,7.09,9.89,12.3,10.8,13.31,11.88,11.99,7.4,3.27,4.1,4.23,2.59,2.59,3.03,3.5,2.33,1.63,1.66,2.11
Pretax Income,5.13,5.73,7.46,7.65,7.09,9.89,12.3,10.8,13.31,11.88,11.99,7.4,3.27,4.1,4.23,2.59,2.59,3.03,3.5,2.33,1.63,1.66,2.11
Income Tax,1.11,1.16,1.67,1.71,1.55,2.17,2.86,2.54,3.14,2.88,2.77,1.69,0.76,0.97,0.91,0.57,0.58,0.67,0.77,0.53,0.36,1.37,0.72
Net Income,4.02,4.56,5.8,5.94,5.54,7.72,9.44,8.26,10.17,9,9.21,5.71,2.52,3.14,3.32,2.02,2.01,2.36,2.73,1.8,1.27,0.29,1.4
Preferred Dividends,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.29
Net Income Common,4.02,4.56,5.8,5.94,5.54,7.72,9.44,8.26,10.17,9,9.21,5.71,2.52,3.14,3.32,2.02,2.01,2.36,2.73,1.8,1.27,-0.01,1.11
Net Income Growth,-27.35%,-40.91%,-38.57%,-28.09%,-45.58%,-14.20%,2.45%,44.55%,304.21%,186.89%,177.72%,182.54%,25.42%,32.66%,21.64%,12.21%,57.95%,-,145.90%,-,-,-,-
Shares Outstanding (Basic),11,11,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,-,-,-,-
Shares Outstanding (Diluted),12,12,12,-,13,12,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shares Change,-6.93%,-5.29%,-2.74%,-0.93%,1.53%,1.44%,2.23%,1.27%,1.20%,-4.26%,-4.87%,-4.88%,-4.88%,-0.02%,0.00%,-,-,-,-,-,-,-,-
EPS (Basic),0.36,0.40,0.49,0.49,0.46,0.65,0.78,0.69,0.85,0.74,0.76,0.47,0.20,0.24,0.26,0.16,0.15,0.18,0.21,0.14,0.10,-0.01,0.15
EPS (Diluted),0.34,0.39,0.48,0.48,0.44,0.63,0.76,0.67,0.82,0.72,0.76,0.47,0.20,0.24,0.26,0.15,0.15,0.18,0.21,0.14,0.10,-0.01,0.15
EPS Growth,-22.73%,-37.60%,-36.84%,-27.82%,-46.67%,-13.79%,0.66%,41.49%,323.08%,195.92%,190.38%,203.23%,25.81%,32.43%,23.81%,10.71%,55.00%,-,40.00%,-,-,-,-
Free Cash Flow Per Share,-1.04,1.77,2.30,2.31,0.53,2.91,1.68,3.44,5.03,0.25,-6.77,-1.39,-5.16,1.33,-0.17,-0.68,1.15,0.09,1.20,-,-,-,-
Dividend Per Share,0.125,0.100,0.100,0.100,0.600,0.100,0.062,0.062,0.562,0.062,0.062,-,-,-,-,-,-,-,-,-,-,-,-
Dividend Growth,-79.17%,0%,61.29%,61.29%,6.76%,61.29%,0%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,22.37%,22.22%,26.92%,27.95%,24.85%,29.42%,32.56%,29.16%,32.01%,27.12%,31.69%,25.83%,18.87%,20.58%,23.80%,15.40%,17.60%,19.44%,20.29%,14.19%,11.50%,10.19%,12.34%
Profit Margin,17.55%,17.70%,20.91%,21.71%,19.41%,22.95%,24.98%,22.29%,24.47%,20.54%,24.36%,19.94%,14.52%,15.73%,18.66%,12.01%,13.64%,15.17%,15.81%,10.99%,8.95%,-0.07%,6.48%
Free Cash Flow Margin,-50.99%,78.11%,97.33%,103.37%,22.36%,103.52%,53.85%,114.72%,149.36%,7.05%,-218.09%,-59.17%,-362.68%,85.45%,-12.31%,-52.01%,100.16%,7.76%,89.24%,-70.39%,30.50%,-41.63%,-
Effective Tax Rate,21.57%,20.33%,22.31%,22.34%,21.92%,21.98%,23.27%,23.55%,23.57%,24.25%,23.14%,22.83%,23.08%,23.59%,21.60%,21.99%,22.49%,21.98%,22.11%,22.56%,22.18%,82.66%,33.87%
EBITDA,5.13,5.66,5.37,8.35,7.14,8.65,10.45,9.69,11.6,9.98,11.27,6.96,3.43,3.19,6.14,2.02,2.83,3.36,3.95,2.68,1.92,0.95,-
EBITDA Margin,22.36%,21.97%,19.37%,30.51%,25.03%,25.72%,27.65%,26.15%,27.90%,22.78%,29.81%,24.29%,19.79%,15.98%,34.54%,12.02%,19.22%,21.58%,22.89%,16.35%,13.51%,5.84%,-
Depreciation & Amortization,-0,-0.06,-2.09,0.7,0.05,-1.25,-1.86,-1.11,-1.71,-1.9,-0.71,-0.44,0.16,-0.92,1.91,-0.57,0.24,0.33,0.45,0.35,0.29,-0.71,-
EBIT,5.13,5.73,7.46,7.65,7.09,9.89,12.3,10.8,13.31,11.88,11.99,7.4,3.27,4.1,4.23,2.59,2.59,3.03,3.5,2.33,1.63,1.66,2.11
EBIT Margin,22.37%,22.22%,26.92%,27.95%,24.85%,29.42%,32.56%,29.16%,32.01%,27.12%,31.69%,25.83%,18.87%,20.58%,23.80%,15.40%,17.60%,19.44%,20.29%,14.19%,11.50%,10.19%,12.34%
